id_cliente,id_emprestimo,id_historico,idade_cliente,salario_cliente,tipo_propriedade,tempo_trabalho,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros,salario_emprestimo,tempo_como_cliente,INADIMPLENTE,POSSIBILIDADE_INADIMPLENCIA
xbcEnWno-o0rt,1Qko1zyv-AvOa,ajeLJypF-nclo,24.0,56000.0,financiado,5.0,pessoal,D,7000.0,15.62,0.29,2.0,0,1.0
MfiEDn7W-PM2H,Mdwtwt3h-YcsY,8e9N0Me0-0OfK,25.0,45000.0,alugado,2.0,quitar,C,8000.0,13.49,0.11,9.0,0,0.0
94xivDPi-k3xP,fNbxEffG-WSh6,2bLyWdhh-Nc4i,24.0,55680.0,financiado,4.0,saude,A,24000.0,6.62,0.16,2.0,1,0.0
Rav56uBz-yyNv,8BJ7Nvpu-kNbr,UwfbzeaW-9tQt,27.0,37595.0,alugado,6.0,saude,B,3000.0,11.14,0.07,3.0,0,0.0
pae5sxqQ-qbtp,Pj4s7oHr-xYyG,GLN3Rr8K-PMkz,23.0,141000.0,financiado,1.0,reforma,D,4900.0,14.54,0.27,2.0,0,1.0
xcUZipym-4w1r,l3HT4gg4-bwKk,4lCTil7o-LbQB,37.0,74568.0,alugado,0.0,pessoal,C,3625.0,6.92,0.11,2.0,0,0.0
wQjd4F7u-P45x,b2vBKv2M-2IYp,OaCxh1Yw-mYez,26.0,86004.0,alugado,0.0,reforma,B,12375.0,10.99,0.25,10.0,1,0.0
c99fUofK-XKyq,zzGGi9ec-u2LF,k7j1q0pa-wctT,26.0,29000.0,financiado,10.0,risco,B,5000.0,12.42,0.11,2.0,0,0.0
52o98vTC-Wcan,iL2FHM1g-UAQ2,9gksDyQ4-X1hn,25.0,23712.0,alugado,9.0,risco,C,2500.0,12.84,0.09,3.0,0,1.0
53XjLq2m-Czti,wLZUwkYA-y71s,4O9QDnAh-i90H,31.0,46875.0,alugado,1.0,ensino,C,6400.0,12.84,0.26,15.0,0,0.0
abpSWlo9-swJH,I6HH5F60-dSJT,9B8Mx7NQ-TeIz,51.0,50000.0,alugado,9.0,pessoal,B,2000.0,10.99,0.04,20.0,0,0.0
qlWL5n7v-00z9,WZsgllpB-87Zw,ItcZeKnN-SaYG,27.0,50000.0,alugado,5.0,risco,A,4000.0,7.43,0.06,9.0,0,0.0
aozeexaW-CRd3,9L9NyqS6-A97Z,PySRh0BQ-S0S1,29.0,64548.0,alugado,1.0,pessoal,B,3000.0,11.49,0.08,4.0,0,0.0
AXPx1H49-e0MC,dXeqhFMX-jASj,2jBgNiWU-OaRk,23.0,75000.0,alugado,1.0,risco,B,2000.0,10.37,0.06,2.0,0,0.0
Rb8rEG8L-xyuB,Tepb8L4q-NStS,cTnp206I-F0UX,23.0,53950.0,financiado,8.0,ensino,A,6500.0,7.14,0.09,9.0,0,0.0
mPmL4Pzx-qL9E,BldAdx3r-PA8T,kQ3NRjUy-i4Kg,28.0,63000.0,financiado,3.0,quitar,A,1800.0,5.42,0.05,4.0,0,0.0
F9a6bBd9-Xe2o,UrSDOZmq-SHv8,5litkp0B-N2YI,27.0,68000.0,alugado,4.0,quitar,C,2500.0,14.35,0.03,6.0,0,0.0
DHRCl1bl-vU29,p4waHg9o-oY0p,upeRC96Y-sZ5u,37.0,52188.0,financiado,14.0,risco,C,8000.0,12.84,0.19,10.0,0,0.0
PcqR89o8-gQyu,5ghsIX6A-Nank,zGkR8dss-mIEf,46.0,30000.0,financiado,13.0,quitar,A,12000.0,5.79,0.15,17.0,1,0.0
yvIkctME-Y9vP,1vl1QZ1e-nImx,xOcfyMOd-QRcR,24.0,85000.0,financiado,1.0,risco,A,4250.0,5.42,0.06,2.0,0,0.0
RCWidnea-ln77,ju9ffE7L-ZCcQ,6l29wbjm-Ntkj,25.0,70000.0,alugado,9.0,pessoal,A,1000.0,8.49,0.1,10.0,1,1.0
se85w3kj-tMQb,LRLR03uY-R4iv,TM1wnryu-1Mzj,28.0,44447.0,financiado,8.0,risco,A,9800.0,7.29,0.35,4.0,0,1.0
Gi7l8tEK-JXJu,xFgOFTuY-3UOf,NIne2GpG-PsqC,31.0,77000.0,financiado,4.0,quitar,A,10000.0,6.62,0.2,3.0,0,0.0
826ZX2NK-Fhww,U58yKxJd-azt8,zDtNmoZ7-9lmM,32.0,72000.0,alugado,6.0,ensino,B,10000.0,12.21,0.12,15.0,0,0.0
364IUN7q-3ZMi,nhLomTZL-MWm8,MvKKlY84-NjeD,23.0,51600.0,financiado,1.0,reforma,D,23000.0,18.25,0.15,3.0,1,0.0
ARMlOELv-qSQf,Rk5lxfOB-bgRl,mCZ437B8-XUMx,43.0,141000.0,financiado,24.0,ensino,B,3700.0,9.62,0.15,4.0,0,0.0
3EK38r1X-Kaid,riHeiLkp-21mg,mIah9qIM-ONT6,26.0,30000.0,proprio,3.0,quitar,C,6000.0,12.68,0.08,2.0,0,0.0
5EK5G34w-GMlO,hAberCcb-LSbW,1beBv3F8-F2O8,22.0,80000.0,alugado,3.0,ensino,C,1700.0,14.72,0.04,2.0,0,0.0
jCClqEWY-swUQ,ruprjin8-Ne1v,y5Q8i4wX-nX1u,27.0,48000.0,alugado,2.0,saude,B,8950.0,11.89,0.13,2.0,0,0.0
mmQbQYG5-j9Qd,XBXWAnIQ-DOLC,2J8DvC8U-DwqO,27.0,27000.0,alugado,2.0,quitar,B,16000.0,10.99,0.42,4.0,1,0.0
RSQpYv0W-D6Oo,MjTNYsmN-6qBc,8SelGHyw-9ksb,24.0,12600.0,alugado,2.0,quitar,C,25000.0,12.73,0.29,5.0,0,0.0
WO4bF6sy-1on4,GxcBplsQ-Nvch,Bpz7BPM8-mPum,24.0,154000.0,financiado,8.0,quitar,A,10375.0,5.42,0.25,3.0,0,0.0
ommbRPCs-PAaa,W0EcSQKT-jJhE,cSl8eYX8-OjBa,23.0,42000.0,financiado,2.0,pessoal,A,3200.0,7.68,0.05,4.0,1,0.0
wKyc0Yjf-bYUM,lzY796Px-sse4,X9DazWtZ-0HYK,22.0,38000.0,alugado,0.0,saude,A,12000.0,5.99,0.31,4.0,0,1.0
RhAHut9i-hY1X,Pp8swPTC-Hi0o,ZpQWfG3p-5TOM,24.0,82000.0,financiado,8.0,quitar,A,6000.0,5.99,0.08,3.0,1,0.0
xlJ2wSfe-Hd1a,OsNflsOz-3ICi,tpILE20p-UliZ,48.0,64430.0,financiado,14.0,saude,C,5000.0,14.26,0.07,16.0,0,0.0
T8rX7u9r-6CAP,c4tiPmKt-26Xo,1bD3hvAx-kqyN,22.0,60000.0,alugado,0.0,pessoal,A,10000.0,5.99,0.12,2.0,0,0.0
9SIGBQ1B-MpJz,lyLNRrBX-Q2RZ,e3hG9dzn-CsIs,26.0,80000.0,alugado,5.0,saude,B,6000.0,9.25,0.15,30.0,0,0.0
llzuyFX9-13An,7s4lG8cS-sWKI,mHxZU32F-BU0v,27.0,82500.0,financiado,3.0,ensino,B,4800.0,12.69,0.15,4.0,0,0.0
uNRXUN05-PU4l,zUZnjW1g-kj6S,iBbBBv31-s0rH,24.0,80000.0,alugado,6.0,pessoal,A,12000.0,8.9,0.16,4.0,0,0.0
awC8jyzL-R2mq,gp7W8s0h-4AkX,FbaM9flI-c2ah,30.0,53000.0,alugado,4.0,ensino,A,8500.0,6.54,0.17,9.0,0,0.0
NyNpqeqQ-tvRe,EDOeOFFJ-3voF,p0cFZkPr-UZTd,22.0,175000.0,financiado,6.0,ensino,B,20000.0,10.38,0.18,8.0,0,0.0
5absUf2c-Bw64,OulcAcOC-Z6Zc,Jv3WpKwS-LXrr,23.0,30000.0,alugado,1.0,risco,C,4000.0,14.82,0.07,17.0,0,0.0
c2YX42IR-exMF,CSw4G9mI-UpNo,XimcdzFl-nj4n,32.0,45000.0,alugado,1.0,pessoal,D,18250.0,14.61,0.49,12.0,1,1.0
4fXmWjJB-zGmt,o59JMnof-WScs,T03C7WlG-Gxvp,21.0,27000.0,alugado,5.0,saude,B,30000.0,10.65,0.35,10.0,0,1.0
24MDvPU5-tC7q,D3StTyco-NsWn,5teluJLQ-MMsP,29.0,153000.0,proprio,13.0,pessoal,B,7350.0,11.12,0.15,10.0,0,0.0
0rTT1m0A-WtyP,qQKvvlcO-s0qG,cw5145g2-ZtgH,24.0,62800.0,alugado,5.0,saude,A,5100.0,8.9,0.14,3.0,0,0.0
tcoKOiXu-3NhX,xUprqrK1-virg,pl8ccsr4-E4oj,25.0,44400.0,proprio,1.0,reforma,A,5500.0,7.49,0.06,3.0,0,0.0
J1F9WUy9-LX4z,ICiBNbNT-CCCG,NlYxCZp9-Rx5Y,27.0,65000.0,alugado,5.0,ensino,B,5000.0,10.25,0.15,12.0,0,0.0
r3kSXh1r-pnyf,injMnNAf-kJAo,hDEYZXNP-KfOH,24.0,30000.0,alugado,1.0,saude,B,16000.0,11.99,0.15,7.0,0,0.0
JMsgWhrw-eH0d,oCxMd71B-sc91,xkSToWzs-JZZG,24.0,63000.0,financiado,8.0,saude,B,9000.0,10.08,0.23,4.0,0,0.0
OyIJa5Wc-xAur,DNMdGQEi-oDg1,lETCuJMX-s9XZ,21.0,65000.0,alugado,0.0,quitar,A,5000.0,7.9,0.19,6.0,0,0.0
pixS4R8D-BX7q,touT2QYe-Zq12,7DJD7Uxd-8G4p,29.0,32000.0,alugado,10.0,saude,A,22000.0,7.9,0.16,10.0,0,0.0
KQ3Nk9c2-3USb,2lJGIqQM-bp5M,GIwjo52u-0y7m,23.0,59000.0,alugado,7.0,reforma,B,7000.0,10.65,0.19,2.0,0,0.0
aSip5Bm5-u3nw,UUAHnhF9-OJsM,YK6r79sG-fnba,27.0,48000.0,alugado,0.0,saude,C,24000.0,12.73,0.14,2.0,0,0.0
bWBG5sxh-O8H3,0kpyNK1D-uxSp,KTgskvaR-FZ7D,21.0,45000.0,financiado,4.0,risco,B,4500.0,11.49,0.08,17.0,0,0.0
6NAlDjmN-TGMe,LDph9RXg-ztvn,SbovFI9l-fNUJ,23.0,50000.0,alugado,5.0,quitar,A,8500.0,7.51,0.11,8.0,0,0.0
BZqvILRq-w77J,yzp7phfK-dcrs,tG7pjENP-3kRz,27.0,42000.0,financiado,0.0,pessoal,B,7200.0,10.59,0.21,2.0,0,0.0
H3RyPBaY-p7xT,KLn4W1wY-0HKr,SqX4yQxc-nryO,26.0,46000.0,financiado,3.0,saude,D,15000.0,15.99,0.06,6.0,0,0.0
wH3Y5fYZ-awK4,G2xAYqPJ-e9DX,oirZTm1B-75Nb,25.0,52000.0,alugado,3.0,reforma,A,20000.0,6.91,0.25,3.0,0,0.0
SoZwJPhI-kd01,2wRq2gRC-NZ6q,4QxKa9Pz-r7mO,26.0,37086.0,alugado,7.0,pessoal,B,14000.0,10.65,0.29,2.0,0,0.0
0W39U52r-U9Iy,sfExqdkJ-3R9c,4v52wf4p-YxKe,23.0,44000.0,alugado,3.0,pessoal,B,21000.0,10.99,0.17,11.0,0,0.0
hmbDBDFa-hJ0a,DBz5tBbR-bKxN,2n0OCB0m-iZZT,24.0,40000.0,alugado,1.0,risco,B,10000.0,9.63,0.45,2.0,0,1.0
UWiSRE9G-YbTg,v05ojhjr-eCy4,sDlOzlye-e6dl,24.0,45792.0,alugado,3.0,ensino,B,20050.0,9.76,0.77,2.0,0,1.0
cRfpHMfx-ahHh,g50CBbJq-GC92,KJP7x8sH-FY3v,29.0,21996.0,proprio,7.0,ensino,A,3200.0,6.39,0.04,8.0,0,0.0
PEZJH7yP-ic5W,9xQKOhnz-LrpZ,7NgNdigy-vaMg,26.0,36120.0,alugado,0.0,saude,B,15000.0,9.91,0.27,2.0,1,0.0
Jd3d9mDD-ZFbM,FiRfW7Rl-hTJu,lFQCYaKm-eeYr,31.0,33000.0,alugado,1.0,risco,C,4000.0,13.48,0.06,4.0,1,0.0
XxEbSA5D-2M9m,rb4knt3I-rJI9,ESzlQC6k-JKMA,21.0,35000.0,alugado,3.0,ensino,C,6300.0,14.35,0.21,2.0,0,0.0
suKGFwcX-2l6h,j06x2SYk-I5XL,OSnkZEet-tLtw,24.0,16800.0,alugado,2.0,reforma,C,15000.0,12.53,0.12,5.0,0,0.0
CThqJS2W-adjs,fXeLXAbO-5nMQ,Qt1xRhCw-Hi1e,34.0,120000.0,financiado,10.0,reforma,A,8750.0,7.74,0.06,8.0,0,0.0
z0xjdB4P-lIoN,4kvjaXck-S0E4,KvAevSn8-w7Ip,27.0,72000.0,alugado,4.0,quitar,D,8000.0,16.77,0.24,10.0,0,1.0
bRYeof0L-cqHI,wyAj0NeR-icwA,y9nXpkkl-SnCU,30.0,100000.0,alugado,13.0,quitar,B,5500.0,9.76,0.19,7.0,0,0.0
vqmUBCRR-M1T0,oSbzFg0S-jy08,G63BvvPG-GSyn,24.0,37950.0,alugado,8.0,reforma,C,7000.0,10.28,0.13,4.0,0,0.0
m453kdzv-207J,x2mXKEGF-RBSs,uuDw52Al-ozCJ,24.0,47000.0,alugado,7.0,ensino,A,8000.0,7.66,0.11,3.0,0,0.0
2XyUzvdj-TMZ3,IzAKBBp8-4hek,y6lQzFT9-kF2g,28.0,108000.0,financiado,6.0,pessoal,A,7200.0,7.51,0.3,3.0,0,0.0
3G4B0ela-wchu,OzvzMy6P-m5kX,cBzUsxol-jcw9,30.0,56400.0,alugado,1.0,quitar,B,22000.0,15.23,0.19,10.0,1,0.0
Q9g7dTXG-HEdZ,amyEzryy-wGRW,4dW62oWf-BW6H,29.0,115000.0,alugado,5.0,pessoal,A,35000.0,8.9,0.42,10.0,0,1.0
np657dRs-aK5w,8ozbC8r3-O94a,viRQ2WYn-yJ2G,28.0,78000.0,alugado,5.0,reforma,D,13050.0,14.59,0.09,14.0,0,0.0
5z8o3Dzz-hUhk,h7uW2P3p-Ygnl,FPHJiYgO-5kEP,23.0,54000.0,alugado,1.0,pessoal,D,3000.0,15.62,0.05,5.0,0,0.0
dpHIN937-3HXy,fTQP1wD6-tCDD,5wZa4Cn7-SYYz,22.0,37000.0,financiado,7.0,quitar,A,16000.0,7.49,0.27,5.0,1,0.0
fuuOfly3-7pBh,zbiKBaCu-PeRt,5GiOY3Q0-2TDJ,42.0,39996.0,financiado,2.0,saude,D,10000.0,15.33,0.18,8.0,0,1.0
PTfoZxUD-iqog,zzvJqmpl-qHW4,PTHgNlLP-XvtB,38.0,200000.0,financiado,0.0,ensino,B,5000.0,11.11,0.08,2.0,0,1.0
4l5D4nIg-bQWU,jIC7xbmw-QZCC,2T8SsUER-1x7J,27.0,34000.0,alugado,0.0,quitar,C,5000.0,12.61,0.11,3.0,1,0.0
awrzPmuL-rHu0,qCdf9GZz-L77C,IEHObaim-KPC9,23.0,52800.0,financiado,7.0,ensino,A,12000.0,7.88,0.11,7.0,1,0.0
3vo7Imkv-6cf7,7UhSsIcq-qwfJ,rpXFNdQC-BvSZ,32.0,130000.0,financiado,7.0,risco,C,8000.0,13.23,0.17,3.0,0,0.0
pI1aW4xl-3NaD,aOjmmHcx-NUrz,euZ8n7DH-WmMx,23.0,62900.0,alugado,7.0,saude,A,2500.0,7.14,0.06,2.0,0,0.0
HpUaRQo3-invS,t9dKvc6a-4eAL,bixAJrUN-C9pN,25.0,15000.0,proprio,2.0,saude,C,22000.0,15.23,0.19,4.0,0,0.0
LzzI0eSi-DN94,l9EPSfDx-nziW,jQ6mkMiO-xfb5,26.0,40000.0,alugado,4.0,ensino,A,9250.0,8.59,0.14,5.0,0,0.0
jQU42Nxc-jDlt,baTgkZg4-jQU9,DiLOMMlk-ZTBR,23.0,113000.0,financiado,4.0,ensino,B,10800.0,10.36,0.14,6.0,0,0.0
67FPTdAb-p9Ux,SEY04CqK-kmio,xgEmLOka-o5zX,24.0,130000.0,financiado,3.0,saude,A,2000.0,8.49,0.06,4.0,1,0.0
cFpz2thZ-bXtH,pfZt2Pt8-6uSm,Jc9YMLDH-Opks,29.0,69000.0,financiado,5.0,ensino,B,3000.0,9.76,0.07,4.0,0,0.0
RA1I9Ybt-BmA1,5Tnt4dtJ-ZqgH,CdZwXCo3-zNlM,22.0,81996.0,financiado,7.0,reforma,C,3000.0,13.92,0.18,9.0,0,1.0
d0YRlkdZ-nuLT,jZFHRSRP-Mqxk,7RKJ6S2b-U1oF,28.0,83000.0,financiado,6.0,saude,B,10000.0,9.62,0.13,4.0,0,0.0
ohaO9hZt-EOHZ,QwlQUhy4-MDNN,KQscw3pt-mpUS,27.0,40000.0,alugado,3.0,risco,B,10000.0,9.99,0.19,7.0,1,0.0
4cU3JgCH-wskH,c8n3apdT-KQUo,cR0vHE9k-j1Zu,23.0,57000.0,alugado,0.0,risco,A,3600.0,5.99,0.07,2.0,0,0.0
sNhI94Is-XM5H,rQAnQB3b-Hzn4,ts1kcKfI-Iis0,40.0,116000.0,financiado,3.0,ensino,B,22000.0,10.25,0.29,4.0,0,0.0
0zTaE1t6-Jbkg,g13h8IDL-9kCQ,gBf1FufP-0ERD,29.0,60000.0,alugado,11.0,risco,A,9000.0,7.49,0.09,8.0,1,0.0
DZLT1ITS-zJFj,SmuPuMDD-b1dF,sa77BMSw-l5JQ,24.0,46500.0,alugado,2.0,risco,D,25000.0,14.96,0.27,2.0,1,0.0
Z5vhPtGl-EAJ9,2H43FPa6-Hpsm,vh63g7Ep-7HF5,27.0,24000.0,alugado,5.0,quitar,B,18000.0,10.37,0.16,5.0,0,0.0
GurxF3bh-ova4,Wcsvj4l2-rpwN,fDkl988O-zAhv,34.0,26496.0,proprio,7.0,ensino,C,5600.0,12.53,0.11,2.0,1,0.0
r4eUHgTA-YFa3,Zvgx054C-BIc1,GvqL52S8-S8OH,27.0,45000.0,financiado,3.0,saude,E,10000.0,19.03,0.38,2.0,0,1.0
E7TTiZzU-cjFT,iNd7ZPCp-PhJg,a74XksZq-gH4e,25.0,47052.0,alugado,5.0,reforma,C,2800.0,12.68,0.03,2.0,0,0.0
XSUjbpTi-b8gS,ZiIYXvD7-5Pca,BJOhemS0-CQm9,26.0,38904.0,financiado,1.0,quitar,C,10000.0,12.53,0.22,10.0,0,0.0
I4DCy75Y-LKeI,I1c4yNF4-mTBy,RwtwGDWG-J11t,23.0,64000.0,financiado,7.0,ensino,A,10625.0,6.03,0.15,6.0,0,0.0
kBXDSFes-JNjO,OynzBmJP-HoBp,ByZh0KwP-8j4c,22.0,65000.0,alugado,1.0,risco,D,2400.0,16.77,0.07,2.0,1,0.0
4wRaSHcL-jIK0,KDUjaQwu-lC10,WY85Nqgn-iB8j,25.0,60000.0,alugado,6.0,saude,B,6000.0,10.37,0.2,2.0,0,1.0
5FyhiwYs-Gjvx,ykdIIRt0-Ru6t,kanebnrZ-XlbS,24.0,113676.0,financiado,8.0,risco,A,18000.0,7.9,0.36,7.0,1,1.0
HtofIPoD-juDn,KRnX4Eg7-80T1,z6zSJtOb-PY2D,29.0,115000.0,financiado,7.0,saude,A,4750.0,9.32,0.28,8.0,0,1.0
NWosMvGv-WBOP,pefGhZBX-5W0u,ZUvxzSrM-WpTE,34.0,564000.0,alugado,2.0,ensino,B,5000.0,11.11,0.09,15.0,1,0.0
w9iQfliH-cUEH,zRmY7OmN-LP9l,QpTuxdle-injg,29.0,200000.0,proprio,13.0,ensino,A,10000.0,7.14,0.25,2.0,0,0.0
isheO2Hq-20Ao,4qWQT7R6-qzXP,QXaflmoY-la52,23.0,20400.0,alugado,2.0,reforma,A,4000.0,5.99,0.09,16.0,0,1.0
tHElGIaf-w88Z,npGU8f2c-np02,0jtn3BJU-t998,25.0,39600.0,financiado,5.0,reforma,A,10200.0,6.91,0.15,2.0,0,0.0
v4ZSs1bw-7hoC,vimXFcGs-wAx8,1mMjfQmW-izGu,22.0,100000.0,alugado,3.0,quitar,B,16000.0,10.38,0.26,2.0,0,0.0
dv737ikP-W0ER,ob9Yrlfi-Ocpc,5Rj4GBpi-ZXjG,22.0,36000.0,alugado,4.0,pessoal,B,11000.0,11.49,0.17,4.0,0,0.0
rdXQQ5mF-C4KU,CxTsRPHT-4EKD,8C8ZJYxB-tZ19,33.0,132444.0,alugado,4.0,saude,A,6000.0,5.42,0.05,2.0,0,0.0
H8pQ8q24-xkgP,AjkBv8Tz-KMLM,I1P6lcAM-v7dS,28.0,92000.0,financiado,5.0,pessoal,B,10000.0,9.91,0.13,4.0,1,0.0
KoyFBbks-gi45,o6HjCfkq-hguu,u0KE1FJ7-gAEQ,33.0,21000.0,alugado,0.0,saude,A,13000.0,8.49,0.18,2.0,0,1.0
CSvKYIdA-hkcI,r1vJlIgD-ugjL,g4TewiQh-4zPA,25.0,129600.0,financiado,0.0,ensino,D,18500.0,16.02,0.37,4.0,0,1.0
8nxX7uXC-Lp3L,PwQksUG4-Pz9n,ezaSrvf2-JmgK,46.0,29004.0,financiado,4.0,saude,A,9600.0,5.42,0.2,4.0,0,0.0
njGBnugm-85Dv,9UswRTJo-YKGt,r5oZeCnX-hnw1,30.0,110400.0,alugado,1.0,ensino,D,6000.0,15.58,0.1,7.0,0,1.0
P0Xyab3y-tzMd,YaENZthR-8hUw,PbKSDf1n-jbDx,25.0,12000.0,proprio,0.0,risco,B,12000.0,10.38,0.31,3.0,0,0.0
ZCIBgig9-xiNX,w9XywDLi-L5AZ,Yp8gTf6W-SPWc,29.0,19200.0,alugado,4.0,quitar,B,8000.0,9.91,0.2,4.0,0,1.0
qkEIMORo-XBMh,JP7dj2Dh-yuPp,KmmFYdA9-PKZN,33.0,36000.0,financiado,17.0,risco,B,15000.0,11.12,0.31,7.0,0,0.0
7FuRPybf-tjaj,ZidUELti-26nP,9NIIaDks-3MM3,22.0,75000.0,alugado,5.0,quitar,A,18000.0,7.88,0.36,10.0,0,0.0
JianLh4r-I09Q,e6sluwHp-iUji,G432tp6j-pzbX,22.0,67000.0,financiado,0.0,pessoal,D,8000.0,15.05,0.1,4.0,0,0.0
EmqUmLya-cO58,NiMQUqJb-4jO6,Xh5wpHuJ-NhDT,24.0,18000.0,financiado,0.0,reforma,B,15000.0,10.37,0.12,10.0,0,0.0
Kv0lA2p7-1ZIf,BISkmiun-jgbx,lswq23Ne-M6Wg,21.0,53000.0,proprio,5.0,ensino,A,4400.0,6.76,0.18,2.0,0,0.0
r0jkmQE9-ZSgj,e4bhNFFz-stxp,AszvwvyJ-qRQ0,28.0,49000.0,financiado,5.0,quitar,B,7500.0,12.18,0.09,7.0,0,0.0
WNCMZqR7-4Jlj,8rcqDkI3-vHHI,lbyFgqqo-ANBl,27.0,72000.0,financiado,9.0,saude,C,5000.0,13.98,0.3,6.0,0,1.0
E63mnQi1-Qnac,hkfloBdC-yLCa,kAQpkHl6-6NOe,30.0,35000.0,alugado,5.0,saude,B,6225.0,9.76,0.31,9.0,0,1.0
yFWLlsUT-BvHy,mD49akDA-s4O3,7RRChfSN-3EqP,29.0,85000.0,financiado,12.0,pessoal,D,12000.0,14.96,0.21,4.0,1,0.0
NM51l6IJ-WTXU,P1rEaRU9-Ydcr,pkMfboGR-pTqp,23.0,57000.0,financiado,6.0,risco,B,11500.0,10.38,0.09,8.0,0,0.0
rz6jRREt-kpuD,7QEZdm7E-tA5R,YK9qU6ei-ug7w,23.0,72000.0,financiado,7.0,pessoal,C,5000.0,13.49,0.13,3.0,0,1.0
Ge475RBL-tUyC,ie5ATLXh-Xi5T,4f3BRNgW-d5QH,38.0,34800.0,financiado,2.0,pessoal,A,3000.0,7.9,0.3,4.0,0,1.0
kydvTtHi-7IEr,xWXT3UWB-iAzx,YzMA2Ysl-lQH6,31.0,101416.0,financiado,9.0,reforma,A,4100.0,6.92,0.03,6.0,0,0.0
FS8WpMJb-ta3M,uKtIniqY-TkAP,LsRkEamQ-0h5N,25.0,45000.0,alugado,3.0,saude,A,10000.0,7.29,0.14,3.0,0,0.0
UmPyshab-dq2L,Tll0rfYY-fWe5,6NJTMuw9-NKSj,24.0,70000.0,alugado,8.0,reforma,B,5000.0,10.0,0.06,2.0,0,0.0
8GT3d7G7-5Ds7,K8d0yxrq-cpsx,91tDZXip-UFed,21.0,24960.0,financiado,0.0,quitar,A,12000.0,7.88,0.09,4.0,0,0.0
1vmTMTiy-htca,9MPRQBcG-jzmH,L879c3ru-kJts,29.0,40000.0,alugado,14.0,saude,A,14000.0,7.88,0.13,2.0,0,0.0
xmRrMNjP-qe2r,ek1NNGde-twCD,Qu2QzGcd-8O1G,22.0,51300.0,proprio,6.0,risco,B,20000.0,10.62,0.19,4.0,1,0.0
WgJ6BRe9-wRiC,NmZYezQL-GGEp,siH3Kauc-ZaoS,30.0,39600.0,financiado,11.0,reforma,B,2725.0,12.18,0.06,5.0,0,1.0
