loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,loan_id
Hldie1KQ-Tf44,Homeimprovement,C,7000,12.68,1,0.15,Hldie1KQ-Tf44
bkdkrF7O-1gSm,Personal,C,10000,13.98,0,0.01,bkdkrF7O-1gSm
HpNpSsXM-YpJK,Medical,B,11000,10.99,0,0.05,HpNpSsXM-YpJK
GxXSldna-ouTg,Medical,A,9000,7.74,0,0.12,GxXSldna-ouTg
zMizZoN6-MZSl,Venture,A,6000,8,0,0.26,zMizZoN6-MZSl
nWHB1ect-17nH,Medical,A,4500,NULL,0,0.05,nWHB1ect-17nH
gYkitugH-OLJP,Education,A,10000,NULL,0,0.14,gYkitugH-OLJP
rt6WwqJk-oKBb,Personal,B,2100,11.14,0,0.15,rt6WwqJk-oKBb
0sFrQD5Y-agj2,Education,A,13500,7.88,0,0.3,0sFrQD5Y-agj2
DcAxKqOk-o2Er,Venture,B,10400,10.25,0,0.23,DcAxKqOk-o2Er
w2qt0nOF-vv7S,Education,B,9000,10.65,0,0.2,w2qt0nOF-vv7S
r7rGDuT5-cZ5C,Debtconsolidation,A,12000,9.63,1,0.18,r7rGDuT5-cZ5C
QZfY6Mlt-Rm3R,Medical,C,6000,13.16,0,0.13,QZfY6Mlt-Rm3R
zK8tYlv5-xL9Y,Homeimprovement,B,7000,11.71,0,0.08,zK8tYlv5-xL9Y
YaS1l0r1-rl74,Venture,C,4000,11.34,0,0.04,YaS1l0r1-rl74
7gjK8OfR-e6KH,Medical,B,8200,11.36,0,0.2,7gjK8OfR-e6KH
P7jkyPF7-jmi0,Homeimprovement,B,3000,10.75,1,0.09,P7jkyPF7-jmi0
HNnSjfuG-HGoq,Homeimprovement,A,8400,6.62,0,0.12,HNnSjfuG-HGoq
j4jW2Hgg-EaqH,Education,B,11200,NULL,0,0.27,j4jW2Hgg-EaqH
PcWB2Bet-UBw9,Debtconsolidation,C,11200,13.99,0,0.15,PcWB2Bet-UBw9
SQzZHBCF-LeoY,Homeimprovement,A,15000,NULL,0,0.12,SQzZHBCF-LeoY
oM3gstOU-PCvK,Education,B,6000,NULL,0,0.1,oM3gstOU-PCvK
sK9Z0Su3-ByoJ,Venture,C,7600,13.23,1,0.12,sK9Z0Su3-ByoJ
LKsRGGwj-QW3S,Debtconsolidation,A,5000,7.66,0,0.17,LKsRGGwj-QW3S
NQ7iL2r6-ANw7,Venture,A,3500,5.42,0,0.05,NQ7iL2r6-ANw7
gtIKUugt-sT3w,Debtconsolidation,D,1000,15.95,1,0.04,gtIKUugt-sT3w
taBZvXsM-O7nY,Venture,C,8000,13.61,0,0.06,taBZvXsM-O7nY
v1KH6H8c-r5y5,Personal,B,4000,10.75,0,0.07,v1KH6H8c-r5y5
hedRfgym-o26z,Medical,A,12000,8.94,0,0.1,hedRfgym-o26z
KmKdmoyy-jJ9f,Personal,B,10000,12.21,1,0.48,KmKdmoyy-jJ9f
EXjUg65s-uDMW,Debtconsolidation,C,6500,NULL,0,0.3,EXjUg65s-uDMW
X3iX1iIy-bGm9,Medical,C,5000,13.8,0,0.07,X3iX1iIy-bGm9
G8BbKIIz-vmph,Homeimprovement,D,6625,18.25,0,0.1,G8BbKIIz-vmph
FvXwoc5A-mnJU,Education,B,10000,12.69,0,0.23,FvXwoc5A-mnJU
pav7WMqK-Po79,Homeimprovement,C,5000,14.27,1,0.21,pav7WMqK-Po79
kjWyxOEY-vPhl,Personal,B,5000,11.12,0,0.07,kjWyxOEY-vPhl
Yig4ZXsx-CfXo,Education,B,3000,8.88,0,0.04,Yig4ZXsx-CfXo
KoDkbM6G-DZsY,Personal,B,2725,10.74,0,0.09,KoDkbM6G-DZsY
vevbLW4L-emQr,Venture,B,15000,9.88,1,0.44,vevbLW4L-emQr
hhOmo2Z6-UQh9,Personal,B,7500,10.08,0,0.12,hhOmo2Z6-UQh9
XwI5TN9I-FLfj,Medical,B,4000,9.91,0,0.05,XwI5TN9I-FLfj
64rOsSAZ-frmI,Debtconsolidation,A,8000,5.79,NULL,0.2,64rOsSAZ-frmI
LywpjJri-ZM4Z,Venture,C,4800,14.22,0,0.04,LywpjJri-ZM4Z
zXBJae71-b7mg,Debtconsolidation,B,25000,12.18,0,0.04,zXBJae71-b7mg
237g33Iu-1WN2,Medical,A,4000,5.42,0,0.08,237g33Iu-1WN2
jMYTWBjt-OfQQ,Debtconsolidation,A,3000,7.14,0,0.05,jMYTWBjt-OfQQ
YP0N3vg7-o4bP,Venture,B,24250,12.53,0,0.27,YP0N3vg7-o4bP
79KPG1FE-SWcd,Debtconsolidation,A,1500,NULL,0,0.06,79KPG1FE-SWcd
XCNSDI8u-D9Y5,Medical,B,3300,11.71,0,0.07,XCNSDI8u-D9Y5
aSLwhE5T-hd70,Venture,C,9700,13.61,0,0.16,aSLwhE5T-hd70
gFi2ZqkB-kkgz,Personal,B,1500,11.49,0,0.03,gFi2ZqkB-kkgz
hfSAzfJo-7ZUS,Medical,D,6000,15.62,1,0.21,hfSAzfJo-7ZUS
tsROStpp-fPHz,Venture,B,12000,11.71,0,0.28,tsROStpp-fPHz
JA1PFznh-hxfR,Homeimprovement,A,12000,6.03,0,0.12,JA1PFznh-hxfR
PyCXqnbW-SKwM,Debtconsolidation,A,9000,8.94,0,0.17,PyCXqnbW-SKwM
kdOrvi7k-21mv,Personal,B,2500,10,1,0.17,kdOrvi7k-21mv
Ujfw8w2s-BFRl,Debtconsolidation,D,22000,13.67,1,0.32,Ujfw8w2s-BFRl
edcXOOuW-AP2k,Debtconsolidation,B,10000,NULL,0,0.29,edcXOOuW-AP2k
1QCY01El-ubrY,Education,D,2000,16.89,1,0.04,1QCY01El-ubrY
uzF0oDUW-Lr6z,Medical,B,10000,12.18,1,0.33,uzF0oDUW-Lr6z
4TnJ9lnb-pRbp,Personal,B,11200,9.99,0,0.18,4TnJ9lnb-pRbp
5eecHAi4-se2T,Venture,C,7200,12.23,0,0.08,5eecHAi4-se2T
6eG1Suw6-KYyW,Venture,B,5000,NULL,0,0.03,6eG1Suw6-KYyW
lHOY2CXx-c2cl,Personal,B,6000,12.42,1,0.15,lHOY2CXx-c2cl
QObwPbTq-0c5q,Personal,C,16000,13.35,0,0.21,QObwPbTq-0c5q
f7Lyussa-LlrJ,Venture,B,4500,11.71,0,0.17,f7Lyussa-LlrJ
Tm2z8gZF-jfTh,Education,D,10000,16.29,0,0.08,Tm2z8gZF-jfTh
2Led8OUc-Kvm1,Education,A,3300,5.99,0,0.11,2Led8OUc-Kvm1
gLrB6BKM-myJ7,Venture,B,12250,10.59,1,0.43,gLrB6BKM-myJ7
pGs5ySOL-WFIp,Personal,D,17200,17.58,0,0.18,pGs5ySOL-WFIp
MMfNP05M-wUlL,Medical,C,7400,13.11,0,0.12,MMfNP05M-wUlL
f1iUo5bw-ZhfI,Personal,D,5000,14.84,1,0.15,f1iUo5bw-ZhfI
uzpZwUoY-zGtL,Medical,A,18500,NULL,0,0.16,uzpZwUoY-zGtL
EcxS7pae-YOOK,Medical,B,20000,11.99,0,0.34,EcxS7pae-YOOK
f0R2n0yN-6ayY,Personal,A,8500,6.03,0,0.11,f0R2n0yN-6ayY
rKAW9anJ-mcl9,Medical,A,5000,7.29,0,0.12,rKAW9anJ-mcl9
4TD3AB67-wdtv,Medical,A,1200,8.59,0,0.01,4TD3AB67-wdtv
oxHGkDSv-55MC,Medical,C,25000,12.87,0,0.16,oxHGkDSv-55MC
rmi3b8Cj-Y0ku,Education,C,2500,13.22,0,0.07,rmi3b8Cj-Y0ku
xDXuB9th-K6WL,Debtconsolidation,A,12000,7.29,0,0.24,xDXuB9th-K6WL
2Ek93ECi-YEeX,Education,C,2100,13.48,0,0.09,2Ek93ECi-YEeX
TLhuGF60-BUul,Personal,C,6000,NULL,0,0.12,TLhuGF60-BUul
2IjvN3iU-svJD,Venture,A,5000,5.79,0,0.13,2IjvN3iU-svJD
3gLLnu7J-3OgK,Homeimprovement,C,10000,11.22,0,0.33,3gLLnu7J-3OgK
oeyp9jci-enaa,Medical,A,11600,5.42,0,0.14,oeyp9jci-enaa
yc75f1wC-eWJA,Personal,B,20000,10,0,0.14,yc75f1wC-eWJA
C6MKwKje-zJuS,Education,B,14000,NULL,1,0.35,C6MKwKje-zJuS
Innfn6Hh-4kFp,Education,A,10800,5.42,0,0.16,Innfn6Hh-4kFp
1H9IQ0W7-YD4Y,Medical,C,3000,NULL,1,0.06,1H9IQ0W7-YD4Y
rjamJbfq-SAGU,Personal,B,10000,NULL,0,0.2,rjamJbfq-SAGU
T3X69NA5-Nn46,Homeimprovement,B,16000,11.89,0,0.19,T3X69NA5-Nn46
9sO6741n-MEFZ,Education,B,15200,10.99,0,0.3,9sO6741n-MEFZ
PcooF6pt-ZzDT,Medical,A,1950,7.37,0,0.05,PcooF6pt-ZzDT
zBu3yjDu-H2kF,Venture,B,5650,7.66,NULL,NULL,zBu3yjDu-H2kF
vGNTxrvb-1Kso,Education,A,8700,7.51,0,0.24,vGNTxrvb-1Kso
Wn7Hwhsg-bvWY,Personal,C,15000,13.16,1,0.21,Wn7Hwhsg-bvWY
JaUtGaAs-GSoO,Homeimprovement,C,12000,13.49,0,0.3,JaUtGaAs-GSoO
Pjp8zATw-mRxO,Venture,A,10000,7.51,0,0.11,Pjp8zATw-mRxO
fkwY2Tp6-jZZD,Personal,B,22000,NULL,0,0.2,fkwY2Tp6-jZZD
HTWnrJHK-bb0W,Personal,C,9000,14.35,0,0.18,HTWnrJHK-bb0W
X7kP7joF-7sQG,Personal,B,25000,10.75,1,0.32,X7kP7joF-7sQG
axCiIJIf-SreT,Venture,B,3000,11.49,0,0.1,axCiIJIf-SreT
i9BIXgid-Czv0,Debtconsolidation,A,1200,7.66,0,0.07,i9BIXgid-Czv0
JPQeFR0T-0Yqr,Personal,C,10800,13.49,0,0.22,JPQeFR0T-0Yqr
1lA23mCx-NBJI,Medical,C,10000,13.49,0,0.4,1lA23mCx-NBJI
QxYQC4pP-LTNA,Personal,B,16000,11.86,0,0.22,QxYQC4pP-LTNA
auBIsfwh-FW9l,Homeimprovement,B,10000,10.65,0,0.08,auBIsfwh-FW9l
zq0xtQI8-gKRf,Education,A,15000,7.49,0,0.06,zq0xtQI8-gKRf
GWTO6yns-GW5q,Medical,B,4000,11.49,0,0.12,GWTO6yns-GW5q
3NRmC7t6-HXsi,Personal,A,14400,NULL,0,0.14,3NRmC7t6-HXsi
k8KdHDEN-i4li,Homeimprovement,C,7000,13.98,0,0.05,k8KdHDEN-i4li
Q5ax8QZv-4qmA,Education,A,10000,9.63,0,0.36,Q5ax8QZv-4qmA
r9C1vR13-Zv5k,Personal,A,2000,5.42,0,0.04,r9C1vR13-Zv5k
S6vn9WrM-CSZ2,Medical,D,12500,15.65,1,0.36,S6vn9WrM-CSZ2
Acygb8nd-gTC5,Venture,A,12500,8.94,0,0.23,Acygb8nd-gTC5
aFLodCyu-mMSK,Personal,C,25000,10.91,1,0.37,aFLodCyu-mMSK
uU4CPBya-ducn,Education,B,10000,12.42,0,0.11,uU4CPBya-ducn
lTmvjZFP-irNI,Education,B,1500,9.63,0,0.02,lTmvjZFP-irNI
2cuUAWWM-fmOU,Education,B,NULL,NULL,0,NULL,2cuUAWWM-fmOU
8oA8lDnj-tlEy,Venture,B,10000,11.14,0,0.28,8oA8lDnj-tlEy
eUBBufvk-f58T,Medical,B,3000,11.83,1,0.21,eUBBufvk-f58T
zFCXkx4y-6ZUI,Personal,A,4000,NULL,0,0.16,zFCXkx4y-6ZUI
hA9PpqeO-xYEF,Personal,C,7000,13.48,0,0.13,hA9PpqeO-xYEF
CDJt2LuT-8dUg,Education,D,6625,12.92,0,0.24,CDJt2LuT-8dUg
tuNXFWBS-W9Zh,Education,C,15200,14.26,1,0.41,tuNXFWBS-W9Zh
Bou4wh7A-0NCB,Medical,C,8500,13.16,0,0.27,Bou4wh7A-0NCB
PjFkWBaQ-Lyci,Education,C,8000,12.73,1,0.28,PjFkWBaQ-Lyci
862Qgxgx-AQJL,Venture,B,15000,10.25,0,0.12,862Qgxgx-AQJL
7hcpewH0-JFPU,Debtconsolidation,A,35000,7.49,0,0.34,7hcpewH0-JFPU
NJsxr2ZP-sZ1a,Venture,D,12000,14.11,1,0.16,NJsxr2ZP-sZ1a
ULI4Ilf6-dXqe,Education,B,10000,9.62,0,0.15,ULI4Ilf6-dXqe
1yuBYqXE-Tj6X,Medical,C,5000,13.85,0,0.06,1yuBYqXE-Tj6X
pS4JEQBE-nh3z,Homeimprovement,A,6000,7.9,0,0.07,pS4JEQBE-nh3z
WFhzhMxw-Kuul,Personal,D,6000,15.65,1,0.2,WFhzhMxw-Kuul
3lGp5kB3-ozKz,Venture,B,11100,12.21,1,0.34,3lGp5kB3-ozKz
P9cU7TJ6-GMKS,Personal,A,5000,6.99,0,0.11,P9cU7TJ6-GMKS
ONawgqKD-hvp9,Personal,B,5000,10.99,0,0.12,ONawgqKD-hvp9
IIv35de1-Lwna,Debtconsolidation,B,4800,10,0,0.21,IIv35de1-Lwna
Px0XQYtR-dI7S,Education,A,6000,7.9,0,0.13,Px0XQYtR-dI7S
ybeza8rm-cCyz,Education,A,6000,5.99,0,0.1,ybeza8rm-cCyz
1PUmXnGd-3hq2,Homeimprovement,C,3600,14.79,0,0.05,1PUmXnGd-3hq2
aOu7Sdu4-wSf6,Medical,A,3100,7.51,1,0.1,aOu7Sdu4-wSf6
J95fGY8u-k9H3,Personal,A,5200,5.42,0,0.17,J95fGY8u-k9H3
GYEChkNE-JnNY,Venture,B,8000,11.12,0,0.25,GYEChkNE-JnNY
WmkMH6uN-OKTD,Education,D,10000,16.32,0,0.17,WmkMH6uN-OKTD
wfaRrQAo-UfAm,Venture,A,6000,5.99,0,0.15,wfaRrQAo-UfAm
bUFupvaZ-7dfF,Venture,C,5500,13.23,1,0.1,bUFupvaZ-7dfF
RZSgsRRe-LluF,Debtconsolidation,C,6000,NULL,0,0.07,RZSgsRRe-LluF
NgPGeBeb-L3x8,Medical,A,2500,6.03,1,0.16,NgPGeBeb-L3x8
IhXmupPe-n7Cc,Venture,B,2500,9.91,1,0.19,IhXmupPe-n7Cc
NiTKgsC9-faX4,Homeimprovement,A,6000,NULL,0,0.12,NiTKgsC9-faX4
F5DuNhBQ-R614,Education,C,4200,14.79,0,0.14,F5DuNhBQ-R614
SEMSgZk5-zhaR,Debtconsolidation,B,5600,10.37,0,0.1,SEMSgZk5-zhaR
H5Nusiz6-Ifpa,Homeimprovement,C,10000,13.49,1,0.19,H5Nusiz6-Ifpa
duBYJMMe-k0jW,Debtconsolidation,C,10000,12.87,0,0.12,duBYJMMe-k0jW
PuF7qes0-DKir,Personal,B,6000,10.25,0,0.06,PuF7qes0-DKir
da3r35cC-zj88,Medical,C,4500,15.96,0,0.07,da3r35cC-zj88
OqKhJr9R-0oYu,Medical,A,20000,7.29,0,0.23,OqKhJr9R-0oYu
9KIDELZ1-4ka6,Venture,B,13000,11.58,0,0.22,9KIDELZ1-4ka6
lNlenObT-659Q,Education,A,2500,7.29,0,0.08,lNlenObT-659Q
dImrdO4c-Mth9,Debtconsolidation,B,11200,10.25,0,0.09,dImrdO4c-Mth9
OKTtW4Fa-sJOU,Venture,C,2500,13.92,0,0.06,OKTtW4Fa-sJOU
hYWun3O1-LMLw,Debtconsolidation,C,750,12.29,0,0.04,hYWun3O1-LMLw
YPa0t8L7-69Im,Homeimprovement,A,6600,7.49,0,0.06,YPa0t8L7-69Im
vXNMfusp-fjXs,Debtconsolidation,,5400,5.42,0,NULL,vXNMfusp-fjXs
QhJfSynu-dQTo,Debtconsolidation,B,4000,10.25,0,0.06,QhJfSynu-dQTo
eREEG1KY-akZ1,Venture,C,15450,10.91,0,0.14,eREEG1KY-akZ1
a2naLoSJ-inA4,Medical,A,5000,NULL,0,0.1,a2naLoSJ-inA4
I9XogMeH-O5fj,Venture,B,10500,NULL,0,0.09,I9XogMeH-O5fj
X6XRXUen-rocX,Homeimprovement,A,6400,7.88,0,0.12,X6XRXUen-rocX
88TSMNZd-CXDQ,Personal,A,5000,7.14,0,0.06,88TSMNZd-CXDQ
ysAlb77y-F3Sq,Medical,A,15000,8.63,0,0.3,ysAlb77y-F3Sq
IrAHZtMv-IKKz,Medical,C,22950,13.49,1,0.44,IrAHZtMv-IKKz
By8QwvWz-Le7H,Education,B,5000,11.26,0,0.08,By8QwvWz-Le7H
0sm4QPgm-nQ68,Personal,C,6000,13.98,0,0.07,0sm4QPgm-nQ68
jyrQg4C7-9WIk,Personal,C,10000,NULL,0,0.2,jyrQg4C7-9WIk
fPr528Oe-WEYW,Debtconsolidation,B,4200,10.99,0,0.06,fPr528Oe-WEYW
eryPqdgi-EZFo,Homeimprovement,A,9600,5.79,0,0.14,eryPqdgi-EZFo
WAKYDlYz-5FT7,Debtconsolidation,A,10000,6.99,0,0.13,WAKYDlYz-5FT7
wzdkBkoa-FzSk,Medical,A,15000,NULL,0,0.12,wzdkBkoa-FzSk
AbGMxS3c-g0Xh,Personal,A,14000,7.88,0,0.3,AbGMxS3c-g0Xh
ZxFigD8O-BRv7,Personal,E,6000,16.45,1,0.13,ZxFigD8O-BRv7
8bmeeWWY-RsMn,Personal,B,16800,NULL,0,0.26,8bmeeWWY-RsMn
PB7s6EtQ-GrNR,Debtconsolidation,A,3600,8.32,1,0.3,PB7s6EtQ-GrNR
NEHyCNPF-1Xvd,Medical,D,5000,14.91,1,0.11,NEHyCNPF-1Xvd
tWid1ZRk-iUPi,Venture,A,6000,7.51,0,0.18,tWid1ZRk-iUPi
JocqwEkQ-OHFR,Medical,B,8275,9.01,0,0.07,JocqwEkQ-OHFR
EGZCADrj-0MUK,Debtconsolidation,B,2200,11.99,0,0.04,EGZCADrj-0MUK
HgUGs0Um-FCXI,Personal,B,6000,NULL,0,0.1,HgUGs0Um-FCXI
Kbdw0djx-AT1h,Education,B,21000,9.91,0,0.23,Kbdw0djx-AT1h
PY8PBPPM-mZzu,Homeimprovement,C,10000,NULL,0,0.18,PY8PBPPM-mZzu
m9HyThJL-Ur2b,Personal,B,10000,10.99,0,0.17,m9HyThJL-Ur2b
ovgD91Xt-CsFk,Personal,B,8000,10.36,0,0.09,ovgD91Xt-CsFk
Tbavoevm-Hg4Y,Personal,C,9150,13.99,0,0.08,Tbavoevm-Hg4Y
PSBuYD7I-7S3Z,Medical,C,1000,NULL,0,0.02,PSBuYD7I-7S3Z
yipZT0ZY-JlRZ,Education,C,8700,12.23,1,0.35,yipZT0ZY-JlRZ
s87imLzQ-ic3J,Medical,C,12000,NULL,0,0.35,s87imLzQ-ic3J
YP9DREpI-2En8,Homeimprovement,C,14625,12.68,0,0.18,YP9DREpI-2En8
BoAcSDny-sIy3,Debtconsolidation,D,10000,NULL,1,0.24,BoAcSDny-sIy3
oDUlWl57-iuJE,Education,A,12000,5.79,1,0.4,oDUlWl57-iuJE
TtDS4A5b-iBDU,Homeimprovement,D,8000,14.84,0,0.11,TtDS4A5b-iBDU
YpmC7i0g-UvB8,Personal,A,7000,8.9,0,0.1,YpmC7i0g-UvB8
l2EU9Cit-mqhb,Personal,A,10000,7.51,0,0.08,l2EU9Cit-mqhb
NTZ8W8ie-1Xrh,Medical,B,9000,10.38,0,0.16,NTZ8W8ie-1Xrh
Qeq6YuI3-4dZ7,Venture,B,5000,12.69,0,0.08,Qeq6YuI3-4dZ7
hWbvLyes-IRE0,Education,C,13000,13.23,0,0.16,hWbvLyes-IRE0
G1r4QlsR-ZpYm,Venture,B,8000,9.25,0,0.13,G1r4QlsR-ZpYm
3cymcf6E-Fjdh,Medical,C,8500,12.53,1,0.23,3cymcf6E-Fjdh
4oY3RgYN-HZbY,Venture,A,2000,5.79,0,0.03,4oY3RgYN-HZbY
wBuQhU8M-hKC5,Education,C,4000,13.99,0,0.09,wBuQhU8M-hKC5
MaaLh4A0-SvBv,Debtconsolidation,D,4000,NULL,1,0.1,MaaLh4A0-SvBv
HHYo1qux-xikc,Medical,A,7250,8,1,0.35,HHYo1qux-xikc
Dht5AcPc-c5i8,Personal,B,6000,10.99,0,0.07,Dht5AcPc-c5i8
ghLeZ5Nv-1lvT,Education,C,8000,13.79,0,0.38,ghLeZ5Nv-1lvT
NdoaUAMy-f6Ib,Debtconsolidation,D,6200,NULL,1,0.13,NdoaUAMy-f6Ib
vXlZQsJn-BjKj,Education,D,1800,14.84,0,0.06,vXlZQsJn-BjKj
REvfD5KR-BTnE,Education,B,20000,12.42,0,0.18,REvfD5KR-BTnE
zny9WKsw-Wt0D,Debtconsolidation,B,4200,11.71,0,0.06,zny9WKsw-Wt0D
RH1pbrU1-08KR,Homeimprovement,B,20000,10.37,0,0.12,RH1pbrU1-08KR
mveXnde4-j0EJ,Homeimprovement,B,5000,10.59,0,0.09,mveXnde4-j0EJ
ruzjbt3M-LolC,Personal,A,13000,NULL,0,0.13,ruzjbt3M-LolC
RUiJbI5e-aqUx,Debtconsolidation,B,2400,11.86,0,0.03,RUiJbI5e-aqUx
ntsiYQal-2uvb,Debtconsolidation,C,25000,12.73,0,0.42,ntsiYQal-2uvb
KlrM4v7D-eUcZ,Education,B,22000,11.48,0,0.28,KlrM4v7D-eUcZ
3rOGfixj-0Xt1,Personal,C,19000,13.22,0,0.2,3rOGfixj-0Xt1
hG2S1nGl-HInr,Venture,B,19000,10.62,0,0.24,hG2S1nGl-HInr
GJyD6fM9-aHPq,Venture,A,2500,7.14,0,0.04,GJyD6fM9-aHPq
NvA5v8Zj-gQPy,Homeimprovement,C,8000,13.8,0,0.15,NvA5v8Zj-gQPy
NWc4Ny96-9tgu,Venture,A,11500,7.88,0,0.46,NWc4Ny96-9tgu
LvISIRK0-kkX2,Personal,A,7500,5.79,0,0.2,LvISIRK0-kkX2
C8ALvABE-2xPt,Personal,A,6825,8.9,0,0.18,C8ALvABE-2xPt
9gy4tljt-Qj2t,Medical,C,6400,8.49,NULL,0.16,9gy4tljt-Qj2t
QC3qlUNL-p0GE,Personal,B,9000,11.99,0,0.23,QC3qlUNL-p0GE
AzvAulWZ-RmGk,Venture,D,5500,17.49,0,0.09,AzvAulWZ-RmGk
0BiyHrGU-5xfd,Personal,D,5000,16.07,1,0.18,0BiyHrGU-5xfd
sD82m9DI-tFYZ,Education,A,7600,6.99,0,0.07,sD82m9DI-tFYZ
fRBiljXp-54XG,Medical,A,5000,NULL,0,0.14,fRBiljXp-54XG
AMmIA1yD-od9H,Venture,B,19750,11.14,1,0.66,AMmIA1yD-od9H
7Y2SmByb-wr1a,Medical,A,3000,7.49,0,0.08,7Y2SmByb-wr1a
s0syE2zH-4itu,Personal,C,6000,13.04,0,0.18,s0syE2zH-4itu
FNHqRO2z-Ar9X,Education,F,14000,NULL,1,0.11,FNHqRO2z-Ar9X
AkhkxXdW-1kvN,Education,B,20000,11.71,0,0.3,AkhkxXdW-1kvN
0d1QK8Ih-Dhce,Debtconsolidation,C,12000,14.65,0,0.14,0d1QK8Ih-Dhce
obhqNQqL-aTrP,Debtconsolidation,C,3600,13.99,0,0.06,obhqNQqL-aTrP
8LZl9GK3-kmI4,Education,A,3000,5.42,0,0.04,8LZl9GK3-kmI4
Az4AlUEM-4JSN,Homeimprovement,E,17000,17.74,1,0.29,Az4AlUEM-4JSN
LCS0pXob-Mk4F,Venture,B,5000,11.89,0,0.1,LCS0pXob-Mk4F
8aLFoCeO-htZj,Medical,C,15000,12.73,0,0.15,8aLFoCeO-htZj
ZziTELmw-G5G9,Education,C,3000,13.92,0,0.08,ZziTELmw-G5G9
AHwvZQWh-2UY9,Homeimprovement,A,6000,5.42,0,0.25,AHwvZQWh-2UY9
Z6RzLCqS-im4g,Debtconsolidation,A,4400,NULL,0,0.06,Z6RzLCqS-im4g
Te29JxTb-LL95,Medical,A,9000,8.94,0,0.26,Te29JxTb-LL95
oSUPE75N-HwUi,Venture,D,5000,14.91,0,0.08,oSUPE75N-HwUi
Ox9wPp5g-eKMS,Medical,B,8000,5.42,0,0.23,Ox9wPp5g-eKMS
ciRR6nvD-galu,Homeimprovement,C,17475,9.91,1,0.38,ciRR6nvD-galu
xKgNS06h-pAOG,Education,A,13000,7.88,1,0.42,xKgNS06h-pAOG
ckAD7qZU-t60y,Debtconsolidation,C,7000,12.73,0,0.17,ckAD7qZU-t60y
S2ccDIDP-tC5E,Medical,A,5000,6.91,0,0.1,S2ccDIDP-tC5E
mAoKnRaG-ou0g,Medical,C,7550,13.92,0,0.19,mAoKnRaG-ou0g
AScpKX4r-sBL2,Education,D,8000,15.65,0,0.13,AScpKX4r-sBL2
6qrZOwvn-qeSN,Medical,A,6550,5.79,0,0.11,6qrZOwvn-qeSN
tO2Sm7nc-jnct,Debtconsolidation,C,7000,12.68,0,0.17,tO2Sm7nc-jnct
35DBLH3h-A8db,Education,B,5500,10.25,0,0.08,35DBLH3h-A8db
WsbN9JKc-C6W8,Venture,C,9600,14.27,0,0.24,WsbN9JKc-C6W8
jGJyXBdS-LEIi,Education,A,4200,7.9,0,0.1,jGJyXBdS-LEIi
94hiG4lt-Zr8p,Education,A,10000,7.74,0,0.2,94hiG4lt-Zr8p
MOkDnrE3-OwvQ,Education,A,9000,5.79,0,0.2,MOkDnrE3-OwvQ
