id_cliente,idade,salario,tipo_imovel,tempo_trabalhando,id_emprestimo,motivo_emprestimo,grupo,valor_emprestimo,juros,RISCO_INADIMPLENCIA,emp_sal,id_historico,INADIMPLENCIA,tempo_cliente
dejgBgka-cvSN,25,12996,Own,1,Y7yIUHWQ-138k,Medical,D,3600,14.59,1,0.28,WNto6491-J99J,N,3
pB5tO95i-S3K9,32,48000,Rent,3,EXrxXz9O-HOTs,Debtconsolidation,C,9000,13.99,0,0.19,A4YTvklP-hZTH,N,8
8AYaI8lG-eovU,30,57000,Mortgage,6,jAAgFdfl-6Y7e,Personal,A,4000,8,0,0.07,5s9U5yce-1d0J,N,7
OkOjGYdY-cbh2,42,85000,Rent,3,MGhhCMif-2t4J,Venture,C,5750,12.99,0,0.07,3xNzMDQK-vFI3,Y,15
Wdeij694-MIlJ,29,120000,Mortgage,3,zOSvqZWR-sqDX,Education,B,20000,11.71,0,0.17,YPC9Xmbt-8bUq,N,5
SnPZ9sS7-m50a,24,25000,Mortgage,3,aMoqyZ6H-soNo,Venture,A,9000,7.14,0,0.36,6A9m9HOG-1ZuR,N,4
ERBmpIPN-lMaW,24,28500,Rent,3,5XRNp8To-RvH8,Debtconsolidation,B,2500,11.36,0,0.09,Cic79wRE-9nWL,N,4
ER2fcnk6-XhNN,22,80000,Mortgage,5,P6kekLZk-o2vx,Venture,B,9500,11.71,0,0.12,zumQqjxf-0gct,N,3
F3ZPAIUX-FkIM,31,30000,Rent,0,hDW1Xe27-WuzF,Education,D,6600,16.49,1,0.22,Bw3siA6F-Uqzz,Y,8
QO0MxJ5C-J0Qj,21,30000,Rent,2,9QA7jdmD-WbIq,Medical,A,4150,6.76,0,0.14,GTYNk7NY-DMUO,N,3
imn9ic93-oSMp,31,48996,Mortgage,0,eH8Odfuj-RT5T,Homeimprovement,D,8500,14.11,1,0.17,TfaAaHAR-4gI0,Y,9
oiqjo4kK-2ieZ,26,58000,Rent,10,npEeneRK-zG8l,Education,C,9600,13.99,0,0.17,r8GH3oaq-pSQp,Y,4
AaDuh9Ug-p1By,25,191000,Mortgage,1,681AjXXg-yUw5,Medical,B,10000,12.53,0,0.05,P9shydKC-WLnl,N,4
tc2gzUJ2-Dh1s,31,135000,Mortgage,9,RhTgN0QY-C23h,Venture,A,10000,7.14,0,0.07,s5Z6MPWk-5xgq,N,6
JlUHLUZA-rfPy,24,64000,Mortgage,8,woPqremP-ROOh,Education,A,5000,7.88,1,0.08,kXb3MoC4-CC80,N,4
dPSBQjgo-4roa,26,90000,Mortgage,0,kFnTCjaM-Eii5,Education,B,6000,9.91,0,0.07,0ELENYRH-lpjN,N,3
PKTQBXKt-OXPB,25,110000,Mortgage,7,NBgultND-bFl2,Education,A,8000,7.14,0,0.07,i395QUYN-5Xhf,N,4
bQv6mUQ9-3Mbf,39,60000,Mortgage,1,5x0t61fW-ghYo,Education,C,17000,14.65,0,0.28,gOqEuvYZ-T1za,Y,14
vX0220AL-N1Xc,28,48000,Rent,5,2OuPu8qh-deSt,Debtconsolidation,B,15000,11.99,1,0.31,KSWNLJ5O-9B30,N,10
DwRsBiGO-lo06,36,31000,Rent,3,e4SAwL8Q-7lT7,Venture,A,7100,8.9,0,0.23,7KJaotAU-2GrE,N,12
TJvond5k-OZsJ,22,96000,Mortgage,3,Sq9jFOjZ-nd4A,Education,C,11400,13.04,0,0.12,LOrdD3hM-coOU,Y,2
BYmg43Fi-Mvaj,21,40000,Rent,3,i536G5cd-egh3,Education,D,7000,14.46,0,0.17,M2sgMabi-q39B,N,3
42LtRtXE-rL0e,25,56950,Rent,9,tpdTSCpY-Kz7M,Medical,C,5000,13.92,1,0.07,ISauZKeR-H4iW,N,4
LmwskARR-HyA3,21,41900,Rent,2,0YpSbTgj-CZKT,Venture,C,16000,12.84,1,0.38,j3jnnG3T-iF3N,Y,2
4zf4iTpX-Ju8u,29,101000,Own,6,eEisjK1m-T4wm,Homeimprovement,B,12000,12.18,0,0.12,YaMTpkN1-NQCk,N,8
8Fbppelu-eKnR,23,42000,Rent,4,W3QjfBO2-jmhO,Personal,A,10000,5.42,0,0.24,S9zMallF-rruw,N,3
7K2Y0gam-BFAD,31,215000,Mortgage,2,AFRsOe1g-ZMCv,Medical,B,15000,10.99,0,0.07,DywZmbUm-P5Jj,N,10
hRO9kOL5-Y29L,26,65000,Mortgage,11,qBv7Ad3u-unNs,Venture,A,12000,7.9,0,0.18,J7M98CyW-tebW,N,2
KI4650uQ-ACBq,24,111239,Mortgage,1,zocNNpx5-2jSB,Education,A,14000,7.9,0,0.13,hOqbstIi-ruOB,N,4
zAGYhdqJ-pD7D,30,43000,Rent,1,4cXZj28b-TIKj,Medical,A,3200,8,0,0.07,4pfUPfsE-8Ltp,N,5
RJRYhR8z-Lq2G,21,68004,Mortgage,5,lklKeiRj-ugSo,Debtconsolidation,B,16000,11.26,0,0.24,NGJInTnJ-WbA5,N,3
NGFGiGBt-qzAR,25,25000,Rent,5,nAcEqf1T-TwJv,Medical,B,9000,11.49,1,0.36,2C0wGh9W-akJo,N,2
juwMpikI-PHjn,36,40000,Own,4,0ae6R2mT-ZRFL,Venture,B,14000,10.99,0,0.35,SibJdNKl-Uz6I,N,16
yqR4vYfF-k8B1,24,55000,Mortgage,8,9xQKOhnz-LrpZ,Medical,B,15000,9.91,0,0.27,JoCZcfDw-wRPD,N,3
W9xNZtvO-qLBS,21,52000,Mortgage,5,YRkJSwLT-uBQK,Debtconsolidation,A,13250,5.99,0,0.25,YIIUhXxw-O8If,N,2
noXp5ZzA-7kbv,29,50000,Own,3,MHm6RLEs-ml59,Medical,B,4200,9.91,0,0.08,zsgGPSlg-GAvl,N,6
9Zt0XpIL-gGtx,27,12000,Own,0,JaQQSRMK-MlFG,Education,D,8125,14.42,1,0.68,GEqKtWh8-ItAd,Y,5
RYzaKgT3-rCwx,29,35000,Rent,12,BldAdx3r-PA8T,Debtconsolidation,A,1800,5.42,0,0.05,ASkICWNk-c9NY,N,7
xnzIpFAr-XXwH,38,104800,Mortgage,6,TzCPj24J-ca8m,Homeimprovement,A,14000,6.03,0,0.13,UQob4enS-T6vi,N,11
vM7jxZHX-hPQf,29,32997,Rent,7,XJDd9tQg-onCB,Debtconsolidation,A,10000,5.79,0,0.3,jvXpnOTv-W8gD,N,7
uhoTm6sf-eMyr,24,33996,Rent,2,BPwQZxLO-2wg2,Education,D,5000,14.96,1,0.15,vCjDmWK7-XB2N,Y,4
N3vLp5HW-vITL,22,24000,Own,1,QsvUYivH-K8iH,Venture,A,8000,7.51,0,0.33,OuqQBhde-wnex,N,3
GxkkXb9k-vw0u,40,150000,Mortgage,5,EAHTXplH-ZFxc,Personal,B,12000,10.37,0,0.08,zmXGtrac-CkdJ,N,15
g1GDvUjj-IoJj,23,45000,Rent,1,2hnMHX0e-caej,Debtconsolidation,C,2000,13.49,0,0.04,SkfqfEzL-lKFD,N,2
uuxfZCc3-yREE,31,60000,Mortgage,5,uCmuTGJI-lgY4,Medical,A,7200,6.03,0,0.12,99KTbbun-q4wt,N,8
355PvPHL-0vhC,29,90000,Mortgage,14,x8B2bLLP-a4WB,Homeimprovement,B,15000,11.11,0,0.17,A4wzjCDZ-t27i,N,9
7vMaC87f-hFHi,23,95004,Rent,2,ltPCr6sE-FXps,Education,A,5000,9.63,0,0.05,jjmTp2gM-kyRe,N,4
eLcbSsOy-pOY1,35,27996,Rent,14,XgoYMTuX-dIJ4,Medical,B,8500,11.58,0,0.3,GDenwifY-iS7B,N,8
t59ApC2m-YYFd,30,28800,Rent,1,BztZjz7l-APOx,Debtconsolidation,C,8000,12.73,0,0.28,FlYfM4NA-7CZJ,N,10
01mYIc8o-5SsX,22,45000,Rent,3,zzGGi9ec-u2LF,Venture,B,5000,12.42,0,0.11,2l0WvCkT-vCj9,N,2
kGgQ5Ztm-1Cai,31,52000,Rent,4,Flh8tBUI-8ZwW,Venture,B,10000,11.83,0,0.19,UQ7Y34SQ-UanA,N,7
oXNrwSN4-pHGd,28,115000,Mortgage,11,eouval6d-Q1hc,Homeimprovement,A,5000,7.51,0,0.04,hMRKJ4gx-1Mf2,N,8
ygjtMrWx-nI9B,23,34000,Rent,0,xMWvaKGM-fRSZ,Medical,A,1000,7.37,0,0.03,A6DR8gph-6ZRw,N,4
OD9kaNuK-wF7Y,25,42000,Rent,2,fTp5F21g-PBe8,Medical,B,6600,10.65,0,0.16,IaHdzQXy-jcdy,N,4
WOm68ybv-4qfz,24,54000,Own,8,j48vDxzd-WzCt,Personal,B,10000,10.99,0,0.19,TNUugZc5-GAmi,N,3
UC6NWKOR-RbOf,23,65000,Mortgage,7,JozrbL4N-z2Ai,Education,A,10000,7.49,0,0.15,Q583ALvw-vCL9,N,2
duaNutsR-3WUc,28,61000,Rent,9,x5vU1QNy-Ef7b,Personal,B,25000,9.91,1,0.41,FQ6lnvgr-2l6q,N,7
B2HK6U1k-gRaE,34,50725,Rent,1,Bxx6AYGv-xK8v,Personal,C,5400,13.16,0,0.11,rAZPhS1B-Olbf,Y,9
m0EsrCQA-UxF8,23,74000,Rent,3,ybSH8enN-9zbG,Medical,B,25000,10.36,1,0.34,9UdFSUoj-JTbn,N,2
Yu43ay9a-ReKe,31,65000,Mortgage,4,SoRUcWf1-Cyse,Debtconsolidation,B,20000,11.71,0,0.31,QDWjg9p2-RtUT,N,9
SniIxJ44-alJb,23,34000,Rent,7,eJ081Ayo-Frym,Education,B,10000,10.36,1,0.29,jOfMS80i-Zg5v,N,4
rz1EWsAa-qLPB,22,24449,Own,2,vanxjNZ8-gDET,Venture,B,1800,11.89,0,0.07,187qtU8E-YHgw,N,4
GbKFxr7D-JIO4,33,108000,Rent,11,eYw1jU0w-hBNF,Venture,B,3000,11.36,0,0.03,KN2KKmsL-rJbv,N,5
YcsNIdbf-tpgT,36,46000,Rent,2,ZiIYXvD7-5Pca,Debtconsolidation,C,10000,12.53,0,0.22,uRyGLHSl-yawC,N,14
SeJTCFwO-KrbQ,41,50000,Rent,0,9mT4cjye-2LDX,Personal,B,6000,8.88,0,0.12,CLOXuuct-rSpH,N,17
G5aDf64O-PH6C,26,31104,Rent,1,sH2uqDS7-NfhJ,Debtconsolidation,B,4000,9.99,0,0.13,zndaY8Bz-M4Os,N,3
HYNz400D-rzsb,22,60000,Own,7,eNAftsYx-hTla,Venture,D,15000,16.49,0,0.25,4QvCYJZz-Qww5,Y,2
AlyOGpcv-PZHy,47,52000,Mortgage,4,mEo0vZSm-wd9v,Debtconsolidation,A,12000,7.29,0,0.23,CBcyCzmp-dZQA,N,13
pKtpPsWm-gBb5,25,95000,Rent,4,q7gXLqBB-y4RD,Venture,B,15000,12.42,0,0.16,gAv0hKgA-0syT,N,2
4ePEsQ0Q-YPAT,22,76296,Mortgage,6,a4Ei4NHR-M6JB,Venture,A,18000,7.88,0,0.24,P0QctpbZ-tA9E,N,3
dcRQIdaK-ZrzX,31,100000,Mortgage,6,AsZ6UB9S-jvQ3,Homeimprovement,C,13000,12.61,0,0.13,4Ao59k8p-P36H,N,7
qqBMyInS-aGKl,25,43000,Rent,2,Q8H92GQ5-Fd74,Venture,A,7800,7.14,0,0.18,cjShcUOG-HxrO,N,3
WXqkgy4i-lLX0,25,58020,Rent,9,uIe8aQoy-hIqe,Personal,A,2000,6.91,0,0.03,dlqxbvAI-6b0K,N,4
F9a6bBd9-Xe2o,27,68000,Rent,4,8HuvzhAq-k7Xi,Homeimprovement,A,8700,7.88,0,0.13,L42AQtMx-SEGR,N,5
lUBk5Wxb-yRTh,35,30000,Rent,0,7Dxvjo5Z-Jkq2,Education,A,6475,5.42,0,0.22,7fvOUWjo-u4wJ,N,7
b7tdrgrW-ayvE,26,40000,Rent,1,c2TKWh0I-ocZx,Personal,B,12000,11.58,0,0.3,4inK3Tv4-C6LS,N,2
Tvok7xAu-oB5c,23,50000,Rent,4,GAtuyfvq-9kKD,Debtconsolidation,B,6000,11.49,0,0.12,HfsqwiRm-nB28,N,3
c7N00Xkw-EjwP,25,61440,Rent,9,TDkjPUqd-ndPx,Venture,B,8000,10.36,0,0.13,6Uah3ah8-rfUd,N,4
gPzGTvzd-YCHw,22,29000,Rent,2,FptECc0u-OiGF,Education,B,10500,9.99,1,0.36,ME0OTs5h-qjMp,N,3
gYjoo3jD-emAd,25,44000,Mortgage,4,uDlmyeNO-dbNN,Medical,D,5550,14.11,1,0.13,CAcJauAz-ctJX,Y,4
cG0aCPes-61zD,23,50000,Mortgage,3,CjrqlOBY-C0rM,Personal,B,10000,10.99,0,0.2,saYaqFAW-ePFO,N,3
2qL2TpcA-3UO0,26,108000,Mortgage,4,LoQ6fSUb-Oz9B,Personal,A,9000,5.79,0,0.08,yyxAqFSr-rcKu,N,2
zKhBXo2u-WqgH,23,70000,Mortgage,5,oWxhfJ5z-XbcS,Education,B,20000,12.21,0,0.29,dNdJZagZ-EYux,N,4
SragtXBq-e1es,25,80140,Mortgage,4,OfP5DP80-WTnh,Debtconsolidation,B,11300,10.37,0,0.14,vWBPETFN-WZbN,N,2
DWSEWuzW-0YNY,28,34000,Rent,1,EenI4oK7-W08Q,Venture,B,4800,11.49,0,0.14,wAxLWQ8O-powv,N,7
6wjmTJ6Y-hQGF,22,78413,Mortgage,6,PxNZBxYl-2e3i,Education,B,17500,10.65,0,0.22,0xnnXI5T-xBOL,N,2
JFCnlUKo-opAW,21,24000,Mortgage,0,WqqAxdoR-mNAa,Venture,A,3000,7.9,0,0.13,uo02FqyD-sP5N,N,4
4BCj5iMI-SvAr,27,22800,Mortgage,11,dzApwnYM-OIBi,Medical,B,2500,10.99,0,0.11,nAqbykfb-2whQ,N,10
2E2Jp2gN-3Rc2,53,95000,Own,24,0Y0rHbib-kYJ4,Personal,A,6000,5.42,0,0.06,DfrYmDZi-YdO8,N,30
hBn6Nj78-fvgu,26,31200,Rent,8,w1JRom7y-y1od,Personal,A,5000,8.63,0,0.16,2SebLJsQ-lj5F,N,2
OUcAOZQh-aQLy,39,65000,Mortgage,3,9dov9RBP-etrY,Education,D,6000,15.62,0,0.09,LaJgumz0-dtyI,Y,14
NiumiXy3-ZCWU,25,45000,Rent,9,k6gvpaPQ-hk69,Debtconsolidation,B,12000,9.62,0,0.27,R2MiB33I-ZKkD,N,3
9Gbo6GjU-I4vH,24,25000,Rent,0,8g7OWEJO-Du7T,Homeimprovement,B,8500,12.21,1,0.34,FpZNX7aC-n4LP,N,2
e23slzE8-B0Ax,29,24960,Rent,13,c048XsHF-y51I,Venture,A,4000,5.42,0,0.16,lllfq9ft-0KFp,N,6
ds2jH5KJ-WuMF,22,81600,Mortgage,6,7rquRb04-0CEL,Personal,A,1300,6.39,0,0.02,Cn135ogy-bKDy,N,3
AplH4Lwm-gyYK,25,90000,Mortgage,7,H7WZlXS5-Rjyu,Debtconsolidation,A,6000,7.14,0,0.07,rZoiEpPc-bciv,N,3
pMajKnu6-53f4,27,44640,Rent,0,RpFauaAu-LzeN,Medical,B,12800,11.83,0,0.29,QHGwl9TO-5WKP,N,9
Q5dqB97I-TEjJ,24,85000,Mortgage,8,UjQWv0nx-pw3f,Education,B,20000,11.11,0,0.24,1G4XQSD0-EUYu,N,4
CZWcNgWA-kbk4,26,87000,Mortgage,9,MjTNYsmN-6qBc,Debtconsolidation,C,25000,12.73,0,0.29,FxGG9RvP-Le3z,N,2
mvkJyvGc-yYuw,22,54000,Rent,4,h0oDhLmM-OrEm,Debtconsolidation,C,9000,15.96,0,0.17,IKk1KTWI-y4IG,Y,3
WS5U2tKu-iGtE,22,43000,Rent,1,nZJqWH9s-yKAW,Venture,D,7500,14.96,1,0.17,fJ0KRNk3-k0Rx,N,3
Mucn0ump-Stue,24,78000,Mortgage,8,BmUhdDn5-YUDX,Debtconsolidation,A,3600,5.42,0,0.05,skrBzl9k-6XSu,N,4
F8sjbtYh-Ntuc,22,73000,Mortgage,6,s23EevcN-d0JX,Education,B,7000,10.59,0,0.1,q3SsWfhh-eib9,N,2
LTD2XdcS-ZCv4,24,65000,Mortgage,6,ob9Yrlfi-Ocpc,Personal,B,11000,11.49,0,0.17,iBDB52Wo-4WAb,N,2
K61MH9Be-kQJ1,32,230000,Rent,0,JvkTGpaD-ra8i,Homeimprovement,A,15000,5.99,0,0.07,zSExL9u6-EOE4,N,5
5mRksQM9-eExJ,23,35500,Rent,2,EWKeCA52-k771,Homeimprovement,D,9000,15.99,1,0.25,AE9jiGaA-WlNL,Y,2
aJCQ5hY4-MiS6,22,104000,Rent,3,q0bvJBPd-qrJN,Medical,C,15900,13.49,0,0.15,uBExJeBT-hicI,N,2
18UJRYaa-ZMs6,22,64312,Mortgage,4,oSUPE75N-HwUi,Venture,D,5000,14.91,0,0.08,UfosSYa8-hY8Q,Y,4
BAOYgg91-Dmlx,23,20664,Rent,4,Txue7n0E-pQ4T,Education,C,4550,13.72,0,0.22,Hcp70S5d-El0J,Y,3
qoGIpKHY-qEyQ,29,60000,Rent,13,BH9qOpoC-Psvs,Homeimprovement,D,17000,14.96,0,0.28,lmAkaOGs-iN3k,N,8
sOhkjxha-2BpL,28,31200,Rent,3,ytIdu6Om-focr,Debtconsolidation,A,3600,6.39,0,0.12,pltL0SOO-FhkN,N,7
n30qucW0-y8nf,30,36000,Mortgage,14,2lJGIqQM-bp5M,Homeimprovement,B,7000,10.65,0,0.19,thjENh4w-5DRM,N,5
WxbsddLX-16Ok,34,60000,Rent,1,A0wzG4hq-KJ7T,Education,B,10000,9.62,0,0.17,xIZ02Rds-vthd,N,9
19PcvNsb-Q2EX,22,30000,Rent,0,YEt0gafB-dAdf,Medical,A,7000,8.9,0,0.23,U52bX4kH-XWDk,N,4
F3Y67rIn-jckm,26,47000,Rent,0,wErmE5GG-WOjr,Homeimprovement,D,25000,15.28,1,0.53,Ecjh4AUO-UTRq,Y,2
WTaTWD7R-nB26,28,72000,Mortgage,9,emllPw3q-SPlj,Homeimprovement,B,18000,11.89,0,0.25,l45L15fR-YZxS,N,8
WWsDFeYW-ILfo,22,90000,Mortgage,6,iPZw4isE-pQII,Debtconsolidation,A,16000,6.03,0,0.18,imr5pNYL-ahjh,N,3
pwTzr4SQ-47xw,33,62400,Rent,4,KGblymA5-FOvO,Education,B,15000,11.99,0,0.24,AaFWnCZ5-rQWE,N,8
tE2MMb33-ZtT7,34,89000,Rent,3,j6eaWF98-rxdq,Homeimprovement,D,35000,18.25,1,0.39,oJM66DQo-WPHF,N,8
v0bZ8uAY-hxvk,30,75000,Rent,2,Whr56GP6-egwr,Medical,C,6000,12.68,0,0.08,UjTc82nd-qwG2,N,8
bRYeof0L-cqHI,30,100000,Rent,13,0T2YFLWb-IZze,Debtconsolidation,A,12000,7.88,0,0.12,0Y1a64ag-4RLW,N,9
sgPHvjSF-4drq,31,28800,Rent,0,P5oUt27z-hpBS,Personal,C,6200,12.23,0,0.22,AhDlN67H-dJ6a,N,9
yuc3qfdx-Onja,27,91800,Mortgage,4,4kkDYjoH-lbFt,Medical,D,25000,16.07,1,0.23,401KANYb-30fK,N,9
YUBW1l1Z-CJlc,22,88200,Mortgage,6,tCU0Nzur-aMzy,Debtconsolidation,A,21000,6.17,0,0.24,t1OeeRmK-C0cN,N,2
r7gg0Ukx-SkjG,25,60000,Mortgage,6,kWJLMt5l-AoyM,Venture,D,8400,16.89,0,0.14,3K230qMt-1qjk,N,3
iaIkFQGz-2Knj,33,63996,Mortgage,15,k8hIJy3l-H7bm,Education,A,3200,5.42,0,0.05,MtEjHHxc-YXWF,N,8
Ud4Ze4ac-afSM,22,56368,Mortgage,5,Mfr1xgxL-TWCp,Education,C,6000,12.99,0,0.11,5O1cpjpw-IQv7,N,2
Z02cn5rP-NABf,23,30188,Rent,3,MrGTH2Nb-zMXp,Personal,C,8000,14.65,0,0.27,PBqTrqXN-1Kww,N,2
0NUo1qwp-bP8D,23,32000,Rent,0,Bou4wh7A-0NCB,Medical,C,8500,13.16,0,0.27,9Z8oxfzn-TlcL,Y,4
vazRHZxW-aH3R,39,48000,Rent,3,oh0uoLeR-9L0L,Medical,C,8400,12.53,0,0.17,4N0WnLvf-iH01,Y,17
m4ET0TY0-ECS7,22,35000,Rent,4,AnqoSbMH-tbFI,Personal,C,5000,13.23,0,0.14,jaUxyfpZ-WJUn,N,2
P5aaxbP0-gGHo,23,17688,Rent,0,hZerzTIu-GUUw,Debtconsolidation,B,1700,11.11,0,0.1,0KJaNxsh-IeYK,N,3
wzOKaXaA-HRcE,31,190000,Mortgage,4,MNW74JpF-U2Ma,Debtconsolidation,A,9000,6.03,0,0.05,uqHT6iWD-taWX,N,7
vX1YNB5l-t3Ck,31,111000,Mortgage,3,ez3kYm85-1UnZ,Personal,A,5150,6.62,0,0.05,UyE0z1EZ-8Kd6,N,7
MKM7QJze-OyuM,25,54000,Mortgage,9,ct6W8N79-J8vq,Debtconsolidation,B,12000,12.53,1,0.22,T5OBOp5W-rW6G,N,4
EARG280W-obvm,23,52800,Rent,3,wAhreapv-hUpI,Education,A,4500,6.76,0,0.09,ZUvtRJSf-NldL,N,4
GpYlfI6I-E5PZ,25,42000,Rent,2,t000FCda-AWsy,Education,A,12000,7.9,0,0.29,AnLodx0w-SWCD,N,4
mAlnuZeM-MHLf,37,44000,Rent,0,xjSJJMn1-ci1w,Personal,B,1700,10.59,1,0.04,wTd8AaLE-z46T,N,17
sfa9UMWH-ObWu,25,44000,Rent,1,JZUwT5vk-NjBp,Education,A,2800,6.92,0,0.06,hBd5yTaX-yGDr,N,3
qvOkUEew-AHlI,23,60000,Rent,1,jGosfFS7-dLtg,Education,C,11000,14.22,0,0.18,lji8xcaf-DhkD,N,4
frMpguAW-39fy,27,120000,Mortgage,2,hFQNlWdT-dRe3,Venture,B,16000,12.21,0,0.13,GODe0QNN-ZKkk,N,5
iGrAFwIx-0cQQ,26,28800,Rent,10,7PL7CQfY-KDO6,Medical,B,15000,10,1,0.52,9wM9NIcS-StHF,N,3
ATWus0Mh-PWQ9,23,34320,Rent,5,aEUb2M00-eset,Debtconsolidation,F,7000,18.3,1,0.2,uhq86SCF-D8eP,Y,3
6b2w9ujK-f93t,23,44000,Rent,7,ITuk3QGM-22Ye,Medical,C,9800,13.11,1,0.22,ziZMe43g-D9J9,N,2
0fP1s82F-x029,26,85000,Mortgage,0,9ozZjt4U-ibHm,Venture,B,20000,10.37,0,0.24,S3PJBbMM-Tx2s,N,2
KGPXwWUu-iioT,28,13500,Own,0,BDrIsfea-GJSa,Venture,A,6700,9.63,1,0.5,xyl313my-mukb,N,8
58SzBJPX-2aPl,24,36000,Mortgage,3,yCNoyWOm-D7ls,Medical,C,8000,13.61,0,0.22,BPZKcC6o-r9ko,N,2
zib1eu0E-Xfwa,31,86000,Rent,0,HWi6fh0W-MCM3,Personal,A,2000,5.99,0,0.02,6Zi07c6w-b5af,N,5
EZwfD2M3-CeWr,28,130000,Mortgage,2,xjH6y7XN-ZcFe,Homeimprovement,D,12000,13.55,0,0.09,yBivO4jB-FvjW,Y,8
hgXF2Ex6-gWd3,35,175000,Own,19,UUAHnhF9-OJsM,Medical,C,24000,12.73,0,0.14,oIiHTQrp-tuPW,N,10
8q8EbTnf-cqgA,23,74758,Mortgage,3,Szhx9mHX-xQGN,Debtconsolidation,B,11050,10.37,0,0.15,B9PIjGrA-3Kx5,N,3
OqqpjWly-vcmN,26,72000,Mortgage,1,zBEL4YnB-kdbM,Homeimprovement,D,10500,15.28,0,0.15,yGdEN8rA-04Dq,Y,2
4Xx4lOO7-OKeO,27,35004,Rent,7,8g7rCr17-HOP7,Medical,B,5000,10.75,0,0.14,B7zCTO09-z01P,N,8
gQB1vBJT-l3QD,42,30000,Rent,0,Nn6Xqn5N-z84b,Debtconsolidation,A,4200,7.49,0,0.14,lIIvEYGR-uHEy,N,13
x08Ho4Kj-6zXR,28,70910,Rent,8,2Mz6hDjD-lt85,Medical,E,3000,17.44,1,0.04,Qfg0l7nz-bpym,Y,5
DkInsqgZ-OdWO,26,28800,Own,8,AoPaNyOu-MtOW,Education,A,6000,8.9,0,0.21,syvvStng-AqDR,N,3
3m8cwB1s-zYLa,26,250000,Mortgage,11,oKQRc225-4gdg,Homeimprovement,B,9000,9.99,0,0.04,CZwUXdeZ-kJ51,N,2
uwE9Pjsm-rcqA,37,63000,Rent,1,3Od8dLo1-I48u,Education,A,14900,9.63,0,0.24,pLwfJrUM-i4kv,N,17
lXTftHnB-NQci,28,65000,Rent,2,ZCHgaycA-wXoB,Homeimprovement,C,7200,13.98,0,0.11,afRzDCJ2-23JP,Y,5
g9HTezr0-zFnU,32,85000,Rent,5,dzqb24uS-x34l,Medical,B,12800,10.75,0,0.15,mPlPCvAW-DjQa,N,7
j4vXE3Oc-qZ1O,30,71400,Rent,0,k2reFgAe-vbTk,Homeimprovement,C,9600,12.61,0,0.13,fhbOrWGh-jQj9,N,6
O5mzA8KN-wtKC,35,273700,Mortgage,8,LMaq9jH1-vlN0,Medical,D,25000,14.59,1,0.08,ynZydWAO-txtl,N,6
9oXdgps0-JS4I,25,26000,Rent,4,lHJyf1H8-48iq,Medical,C,8000,12.87,1,0.31,dl06GuPo-mc2q,Y,3
wKkI2DIn-tH7X,31,110000,Mortgage,4,qecKkI0Q-2aPG,Debtconsolidation,B,6000,11.99,0,0.05,TPTqh2Wy-fmbY,N,7
