loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,person_id,loan_id,cb_id
uqKLAfKW-nAk0,Venture,A,5750,8,0,0.08,Af6D9iZa-cOqL,uqKLAfKW-nAk0,4atKuGoJ-vpH7
h0oDhLmM-OrEm,Debtconsolidation,C,9000,15.96,0,0.17,mvkJyvGc-yYuw,h0oDhLmM-OrEm,IKk1KTWI-y4IG
0T2YFLWb-IZze,Debtconsolidation,A,12000,7.88,0,0.12,bRYeof0L-cqHI,0T2YFLWb-IZze,0Y1a64ag-4RLW
Xyppv91Z-69Pk,Venture,A,7200,6.62,0,0.09,TqMkt1FG-n6Oa,Xyppv91Z-69Pk,XiKZ4kpG-MQkv
03qBmqz8-wOso,Education,C,14000,14.35,0,0.25,l7Gg9RLz-Prmn,03qBmqz8-wOso,qQfsQRKi-O7CK
wpoXDjtR-gjbR,Medical,B,5000,10.74,0,0.09,uSqf2Tog-k9Pm,wpoXDjtR-gjbR,4xBKdKp2-Km79
FdJqX4NN-c4rg,Debtconsolidation,B,7000,9.25,0,0.12,vSlfQXeZ-MdKP,FdJqX4NN-c4rg,ACiom1nH-NO0s
fXx55COj-pTMz,Education,A,5000,7.66,0,0.08,1FsnYmu4-yyag,fXx55COj-pTMz,qTrizCnY-Bm2Q
eMyIwu1w-eqGl,Venture,B,10000,9.88,0,0.17,bus052Eg-Sbmw,eMyIwu1w-eqGl,MiJx3hI1-9696
lePAYoMz-u1j4,Education,A,4000,7.49,0,0.09,4j1ek9Gv-jwKL,lePAYoMz-u1j4,24sGa5Zr-CYZ6
A8p05RvB-qMW5,Venture,A,35000,7.9,0,0.5,OQjTZz3f-461u,A8p05RvB-qMW5,QwXcNx4l-93C1
SdiRIqwz-bl4b,Education,C,15000,NULL,0,0.18,Ci85x6r5-W7st,SdiRIqwz-bl4b,CicwQQcF-Clrk
nkAs8zn7-9Wnv,Education,A,8000,7.29,0,0.23,wdGbXa2N-Qnuh,nkAs8zn7-9Wnv,Nggpr8Iy-a85p
7G2nTxYI-pFRt,Venture,D,1500,14.42,1,0.03,6vfPmChu-iHcT,7G2nTxYI-pFRt,RJZchcG0-rlhG
clQz0tv6-SXKE,Debtconsolidation,B,10000,11.71,1,0.31,Lal5xfaG-yCLN,clQz0tv6-SXKE,fmu1fTbz-jc99
c3mEtu6o-H9ec,Personal,D,3000,17.27,1,0.07,o9Yn2ZsZ-OAmM,c3mEtu6o-H9ec,IW9tvdff-aEx5
b9Medcy1-noHw,Homeimprovement,A,4500,6.39,0,0.09,572QIv5W-FL0P,b9Medcy1-noHw,H508Izuu-ahOn
LMaq9jH1-vlN0,Medical,D,25000,14.59,1,0.08,O5mzA8KN-wtKC,LMaq9jH1-vlN0,ynZydWAO-txtl
RqGha87z-4A6u,Personal,C,5000,12.68,0,0.05,fnvwivqk-nzJ0,RqGha87z-4A6u,eKlLKCtf-7Hcg
1d45s3hf-Zlpm,Homeimprovement,B,16000,NULL,0,0.15,wye1UqLm-dXDY,1d45s3hf-Zlpm,YQ6LX3K4-a8fX
t14nQyu7-LdEp,Education,A,4000,7.88,0,0.04,dFimbEm6-MqeJ,t14nQyu7-LdEp,iMZJL9pS-vRPU
Fzbvi8dY-W7nj,Venture,D,3000,12.92,0,0.08,JkKRmhSJ-aYOK,Fzbvi8dY-W7nj,O5S8SkOC-Mp8B
W9jjtK9v-7K4W,Personal,C,15000,12.73,1,0.63,ZmrSRhAD-8bJX,W9jjtK9v-7K4W,av5l7RKP-SJar
8ImsZY00-lKwZ,Medical,B,19800,11.48,0,0.17,s7hSvu2M-fZfX,8ImsZY00-lKwZ,Jh1EzZe0-Rlvv
uOzmdlzG-qPaG,Venture,A,5500,7.51,0,0.15,ObmrAcBx-0qnw,uOzmdlzG-qPaG,ezpEgpda-LtFI
5Yb77yvT-lgy0,Personal,D,20000,NULL,0,0.14,FBLvtXHn-5zFI,5Yb77yvT-lgy0,2ZBjZwiA-hk1Y
hRyF4vKu-NslC,Medical,B,19850,NULL,1,0.37,z3Ke73sT-fY5k,hRyF4vKu-NslC,bNGX8c5e-XnK7
HYFPyTj0-GSUv,Homeimprovement,C,1200,13.22,0,0.02,wsnzdhbL-9wOY,HYFPyTj0-GSUv,feeFGzs8-XZcY
vBpea1tZ-DrZm,Personal,B,12000,11.99,0,0.11,DjLN68mw-6o78,vBpea1tZ-DrZm,Hd4goEjD-BOD4
38Z1D9cY-jOUE,Debtconsolidation,C,15000,14.27,1,0.38,eUiEGY4v-tSDP,38Z1D9cY-jOUE,vekO8KpL-bKu3
1wBHi6nh-s2Am,Personal,B,10000,11.99,0,0.15,pw0JJppf-oZY4,1wBHi6nh-s2Am,vRssolvu-mb5y
A1TlrjGo-DAXJ,Personal,B,4800,10.37,0,0.1,fGOTdRSB-8508,A1TlrjGo-DAXJ,Nm57TkGH-8BXj
QtCsRYHp-gbCC,Debtconsolidation,B,10000,10.95,0,0.04,BsGSbNIk-dY7O,QtCsRYHp-gbCC,lYdUfzyY-E7BX
34UCigpM-LcHm,Personal,A,5000,6.99,0,0.13,j0hkaZAi-WJpB,34UCigpM-LcHm,uOqK9td7-y2TX
luAf9SWe-1LxP,Debtconsolidation,B,9000,12.69,0,0.2,hX7ripOW-rK00,luAf9SWe-1LxP,FWgX7ZKc-4Za6
RP32qAJN-SWZf,Education,A,6000,7.88,0,0.1,tEJoUH11-6zsC,RP32qAJN-SWZf,8CxgfBd7-DHFw
248FfNok-2Tir,Education,A,3000,5.99,0,0.06,arbDgII6-Ekjy,248FfNok-2Tir,OaFThmtM-hxeh
uFdAfvIz-CfpJ,Personal,A,6000,5.42,0,0.09,msneyluQ-1NEG,uFdAfvIz-CfpJ,7TXwL37G-y7TE
8ezuhXRl-5wg6,Debtconsolidation,A,NULL,12.99,0,0.29,8Knp74FQ-GUL7,8ezuhXRl-5wg6,tboFgU4p-pjAP
i536G5cd-egh3,Education,D,7000,14.46,0,0.17,BYmg43Fi-Mvaj,i536G5cd-egh3,M2sgMabi-q39B
aqKurn4w-Nzei,Education,E,9000,16.95,1,0.04,E24tdG2E-XSjf,aqKurn4w-Nzei,lSIr04Er-zx2e
a2naLoSJ-inA4,Medical,A,5000,NULL,0,0.1,0SyYsnkP-H1X1,a2naLoSJ-inA4,RvJSiigN-4LWQ
1rNrIekt-uAZv,Venture,A,14000,8.94,0,0.12,FYP0K2KK-JiQ0,1rNrIekt-uAZv,uuDw52Al-ozCJ
BwclNgeY-J6iA,Personal,B,13600,11.99,0,0.19,KB51zFtL-ClWz,BwclNgeY-J6iA,0fIioFlc-Ez1J
Os5UX5cm-zveK,Homeimprovement,C,11000,13.43,0,0.15,qzS7X8AO-iNLS,Os5UX5cm-zveK,SXx30qMB-lWOr
tLDrn0sg-kNRh,Personal,A,8000,6.92,0,0.12,xR9pcmNX-ecjB,tLDrn0sg-kNRh,N3d29NjA-fSts
qIRJ2C4m-Nvgt,Debtconsolidation,D,11000,16.02,1,0.18,7zCf5kKF-OcpW,qIRJ2C4m-Nvgt,hmKt8iJj-olBD
QySap8aN-6uJ8,Venture,C,3000,12.84,0,0.03,YvAeLrKC-m7eP,QySap8aN-6uJ8,z1Mx5CrE-zvlO
Odl6ZTyY-tmj0,Venture,B,10000,11.83,0,0.25,kUuZs7Xk-6m4I,Odl6ZTyY-tmj0,6POt0o9y-cn5H
KE7Mpnrp-8eYC,Personal,B,12000,NULL,0,0.29,WPHJHrCs-EAt6,KE7Mpnrp-8eYC,Y1lPMTfk-7fHN
Fgjqaiup-iI8a,Homeimprovement,A,7800,8.94,0,0.16,ppt6Yckz-QLg5,Fgjqaiup-iI8a,uW9axBT3-Kkcb
UTlIhe5Z-C3Rx,Homeimprovement,C,5000,14.79,0,0.06,vQeKi6jj-S7Mp,UTlIhe5Z-C3Rx,lxX6OwH3-4caY
f8ajILh1-jJBz,Personal,G,5000,20.17,1,0.11,FB8Mbd1s-keAt,f8ajILh1-jJBz,yIuOMK6f-SKNQ
rvS5A6p2-TnBo,Education,C,25000,12.87,1,0.3,aEP1J13c-EECv,rvS5A6p2-TnBo,FT7qPBak-r0Nc
sc4aeIkD-qcng,Venture,A,9000,7.74,0,0.16,r3eua1TU-OZN8,sc4aeIkD-qcng,M9hXqK03-MBcK
pLeboaWw-b4Xf,,A,25000,16.07,0,0.19,zMqqJNJb-32Dk,pLeboaWw-b4Xf,gx1Lqjxf-f2U6
IHcxHFyD-ddZE,Homeimprovement,A,10000,NULL,0,0.06,YIHuehGl-eWpc,IHcxHFyD-ddZE,CRO9thKh-NYDn
sxSX7s1R-Wo1r,Debtconsolidation,C,4500,13.49,0,0.13,K58ydOiW-a2I3,sxSX7s1R-Wo1r,o65QapOc-tR0Z
G070Tsjs-kTrB,Homeimprovement,C,7000,14.65,0,0.09,L2ED40Pu-tqWn,G070Tsjs-kTrB,xvaoWhPg-NobU
4tLRJKpw-Mm0k,Debtconsolidation,C,7000,12.84,0,0.12,rmB4ztrf-Oqjp,4tLRJKpw-Mm0k,agTIomnK-Q3xs
2G0Rn01m-LqNC,Debtconsolidation,B,4800,10.65,1,0.16,ZKRsS9GR-wfqr,2G0Rn01m-LqNC,MKsCwpWB-0RSZ
CcCCpa0d-PITn,Debtconsolidation,B,9000,10.39,0,0.2,rbyZLzGQ-rkRu,CcCCpa0d-PITn,EDorPCIW-AbjL
6p3Hft38-mHX8,Education,B,8000,12.53,0,0.18,eB24owMN-bs00,6p3Hft38-mHX8,eGyztFD2-E891
RZSgsRRe-LluF,Debtconsolidation,C,6000,NULL,0,0.07,0QZYaRLo-fwju,RZSgsRRe-LluF,iYPWAMQT-AF64
QKujYyhE-N08c,Medical,C,12000,12.53,0,0.23,aWqawDYU-YP0d,QKujYyhE-N08c,aNMz1mlb-54Xf
2LBnLfBA-WhOj,Education,C,4800,13.22,0,0.11,3amLR3AC-LcAN,2LBnLfBA-WhOj,xIjSvvwD-3SAs
T9aDA0k7-kx5E,Education,A,20000,6.54,0,0.14,CuicvmGM-NmOw,T9aDA0k7-kx5E,OMa0jtXu-PAcl
CF6JEia3-JgDG,Debtconsolidation,A,23000,6.91,0,0.23,4DGaHYeZ-0nEI,CF6JEia3-JgDG,m0irAyyX-XUuZ
qecKkI0Q-2aPG,Debtconsolidation,B,6000,11.99,0,0.05,wKkI2DIn-tH7X,qecKkI0Q-2aPG,TPTqh2Wy-fmbY
Ieeq8pwl-8Gtl,Personal,B,4000,9.25,0,0.15,KXsy9ncj-3Jls,Ieeq8pwl-8Gtl,ER2IiSpo-pu8C
ylxylMl9-Sep0,Education,C,21000,13.22,0,0.3,sY2KDa7W-aLQq,ylxylMl9-Sep0,ON7MkB3H-rc9k
sG8pHbbH-W6zu,Homeimprovement,B,20000,9.25,0,0.28,DdS0CNWk-I060,sG8pHbbH-W6zu,GFC73S4A-pb3x
S15Pr9fJ-lADR,Education,C,35000,13.99,0,0.17,j6gpiiP2-UwPl,S15Pr9fJ-lADR,HtQRdPoQ-xwbr
SXsEbOb2-GRib,Debtconsolidation,B,20000,11.48,0,0.28,aptPvJL6-WOda,SXsEbOb2-GRib,ifOUCah0-CO6X
7LR4fG2u-qxJl,Venture,D,20000,NULL,1,0.38,t2Ua3Uzk-4urD,7LR4fG2u-qxJl,qxuww2qj-9Sgz
OOTawBQt-S5MZ,,C,5500,6.76,0,0.09,3aNTk1an-44LJ,OOTawBQt-S5MZ,jKDGJx0l-uIZ3
xLiTKtbf-Rnyr,Education,B,17000,9.45,0,0.28,YyI8ZgqE-n60B,xLiTKtbf-Rnyr,bvNM69uA-Bjrk
emmXTK8G-Wab5,Education,C,14000,13.11,1,0.35,msucpsXN-tljf,emmXTK8G-Wab5,xB6J7ppL-jRx3
2DGOS6eU-RSsN,Homeimprovement,C,10000,13.57,0,0.17,gTN4tllO-ZtsY,2DGOS6eU-RSsN,qRcJUWHv-AJlB
FkfcFtvu-D9Qq,Debtconsolidation,B,10000,9.91,0,0.22,rqWYRwuN-H0i1,FkfcFtvu-D9Qq,EnPda5na-s8KZ
rexKO1Fs-lZn3,Venture,B,5000,9.99,1,0.26,rz6KYxBX-SCcJ,rexKO1Fs-lZn3,gngDxDmO-YH6A
DcAxKqOk-o2Er,Venture,B,10400,10.25,0,0.23,09gdhdqR-kiFy,DcAxKqOk-o2Er,msvyb3Ok-vs15
Z40Me1z8-X4PI,Personal,B,18000,8.88,1,0.36,t5Q9r6y3-qexA,Z40Me1z8-X4PI,vNWt5pNJ-UDky
IXXRUUPp-HThw,Homeimprovement,C,10000,12.53,1,0.31,YgB7Y3mF-s6G8,IXXRUUPp-HThw,4swDrNcT-e4Z2
ysrr2IYN-eRKo,Debtconsolidation,A,20000,7.51,1,0.34,rSWNRDQz-Qkgp,ysrr2IYN-eRKo,WcTaAPbZ-1CxW
r8Fe5XFx-GoNC,Venture,A,8000,7.88,0,0.22,qdRmbLR7-dCdi,r8Fe5XFx-GoNC,1oNa4ln2-5QRq
NaelpPC5-t2kz,Medical,B,9000,11.26,0,0.11,J3jGNZeh-OzZE,NaelpPC5-t2kz,GvqL52S8-S8OH
CJeanO99-DnZ6,Education,A,6000,7.49,0,0.24,DqMMbIW3-6ub9,CJeanO99-DnZ6,CgXHxe7I-aBJ5
noXdFASt-xYmY,Education,C,20000,11.41,0,0.35,ZzT6MWGq-NTp5,noXdFASt-xYmY,y1DRlGPY-05J3
XcNwfrJw-XBwo,Education,A,15000,7.49,0,0.43,wvZ4ETy2-gheu,XcNwfrJw-XBwo,fQJRj3HS-Z7ET
woPqremP-ROOh,Education,A,5000,7.88,1,0.08,JlUHLUZA-rfPy,woPqremP-ROOh,kXb3MoC4-CC80
rlynsbSt-qkeE,Medical,D,3000,15.37,1,0.06,Tahda0of-tGdx,rlynsbSt-qkeE,tQU1oEcw-1Ho1
2hnMHX0e-caej,Debtconsolidation,C,2000,13.49,0,0.04,g1GDvUjj-IoJj,2hnMHX0e-caej,SkfqfEzL-lKFD
GU3h4sp5-4IRm,Education,C,12000,13.61,0,0.23,ZEJqmuxp-iPmi,GU3h4sp5-4IRm,hzEBlMJg-qwAN
QhJfSynu-dQTo,Debtconsolidation,B,4000,10.25,0,0.06,0spEgKqm-l3s4,QhJfSynu-dQTo,EcSuirUA-q8cO
aW2EOfGz-dwwQ,Personal,B,9000,11.26,0,0.04,IbptaATl-PLrQ,aW2EOfGz-dwwQ,mDfdcmIC-SFNl
4gZM9xoI-Wa0z,Personal,B,5000,10.99,0,0.1,QSi3n1uR-x95v,4gZM9xoI-Wa0z,KptO4H6R-yYw7
K0pG1MyW-rcTd,Debtconsolidation,A,3600,7.49,0,0.07,gBYcKqmc-sTBi,K0pG1MyW-rcTd,qUSgykqJ-3B8p
UPSmiEGt-zbtm,Homeimprovement,B,3000,9.99,1,0.12,3rGQazoA-kBiD,UPSmiEGt-zbtm,OyAAlpC6-EInU
ITfXk1Pj-kIdY,Homeimprovement,B,10000,10.75,0,0.24,dhm5d0rO-QKT8,ITfXk1Pj-kIdY,arqO6iXb-JZyY
NEXMD7jc-ZpYd,Education,B,10000,10.75,0,0.25,RiiEIv5X-0Wo9,NEXMD7jc-ZpYd,mIcAfGb6-5Iqi
azvlatcO-4pzK,Education,A,15000,NULL,0,0.2,iIRtHDf5-7QIO,azvlatcO-4pzK,OwiMF3IN-zb41
aiRUW5dl-4ubD,Venture,A,7500,8.9,0,0.14,yOy3TO5v-8org,aiRUW5dl-4ubD,70ytLz2B-Snf8
Pv70qr19-evF1,Medical,A,3000,6,1,0.17,Kif10v5M-iKBr,Pv70qr19-evF1,szeWxFmy-wfCB
M5ydWUfE-sU9E,Personal,C,3000,13.49,0,0.1,mgyme1UI-qrLD,M5ydWUfE-sU9E,q9x5EfU9-Xn1i
cx8ckgpR-mFWf,Venture,B,7000,NULL,0,0.12,GnE4wQaQ-DGbc,cx8ckgpR-mFWf,NuBmz296-P3yf
lmhmFx2j-spGc,Personal,D,13250,16.89,0,0.38,NCSm0quD-QMHw,lmhmFx2j-spGc,Mcfb7qm5-HBx3
EWjrw6Be-eLcj,Homeimprovement,D,15000,15.65,1,0.1,3WsCDuY3-hbJY,EWjrw6Be-eLcj,iOwpvAuY-RdMw
LoQ6fSUb-Oz9B,Personal,A,9000,5.79,0,0.08,2qL2TpcA-3UO0,LoQ6fSUb-Oz9B,yyxAqFSr-rcKu
d76Sf5d9-YrdL,Venture,A,6500,7.49,0,0.11,85D193sz-EEW2,d76Sf5d9-YrdL,8pKTiRpQ-pyxD
BmaIFuon-Wd4S,Venture,A,5000,NULL,0,0.12,FE0BWZlW-I2DA,BmaIFuon-Wd4S,69CaK92q-Ja6W
n5XobqNb-poH0,Education,A,3600,9.99,0,0.1,euC23Tbf-GfBO,n5XobqNb-poH0,FAiKDwiS-s2lx
QOKrBYJa-0UTk,Venture,B,6000,11.49,0,0.16,OkyogpIq-PXLw,QOKrBYJa-0UTk,PCt2Smm5-aToO
w7CPv5aH-ala1,Venture,A,6500,9.63,0,0.16,yHRGvuyx-CUSE,w7CPv5aH-ala1,nSINYpvz-weaQ
b9Sohwac-N5yL,Homeimprovement,A,7000,5.99,1,0.36,YxRYgne9-CjwE,b9Sohwac-N5yL,Yh4rjGSM-o4aL
AANQMtpo-X46a,Medical,D,9500,14.46,1,0.28,qYQT6WYG-fQ6e,AANQMtpo-X46a,l8DusBBK-fExE
HddlbsAC-LJgT,Debtconsolidation,,12000,11.11,0,0.23,8uve9glc-lFli,HddlbsAC-LJgT,GdpT3nDs-fx2b
H7WZlXS5-Rjyu,Debtconsolidation,A,6000,7.14,0,0.07,AplH4Lwm-gyYK,H7WZlXS5-Rjyu,rZoiEpPc-bciv
q2Z8GsSD-L7sM,Education,A,12650,NULL,0,0.21,NrHgiiCU-XBcP,q2Z8GsSD-L7sM,bBbpkns0-IQbP
FNNUKnlt-rljH,Medical,C,12000,14.27,1,0.08,qtemgqbK-y7Tp,FNNUKnlt-rljH,DhvervTU-hGyH
0YpSbTgj-CZKT,Venture,C,16000,12.84,1,0.38,LmwskARR-HyA3,0YpSbTgj-CZKT,j3jnnG3T-iF3N
ipCruesi-JaTQ,Venture,B,12000,11.71,0,0.25,KpgbTqmR-PM0H,ipCruesi-JaTQ,J63X0dFA-STxu
NOEWzcA9-6S4I,Personal,B,10000,12.21,0,0.2,UH4wN0lK-7x21,NOEWzcA9-6S4I,2pTI7yTY-PuUS
gitwnBvm-EdRA,Venture,B,1200,10.99,0,0.13,rij7LfZ6-gKlT,gitwnBvm-EdRA,ZMhYQu6g-ZTzt
brTIPhj4-iSci,Medical,A,8000,NULL,0,0.27,Ll8yTOih-I4Ex,brTIPhj4-iSci,DH535nUu-wMOn
39oyxmrD-0bvO,Venture,A,1200,NULL,0,0.03,U5A0YCeg-dIb4,39oyxmrD-0bvO,ZuHf01Ss-ZxtT
OAWsP7aY-dwDy,Education,A,2500,6.91,0,0.09,lR4RN8mu-fPga,OAWsP7aY-dwDy,XeKWY3Sp-zTrm
phRgR237-vPGi,Homeimprovement,B,10000,11.86,0,0.25,pBwwnlXs-9sw5,phRgR237-vPGi,4j2dG8me-Qz4D
Ix4WNEA0-2uj2,Education,A,6000,8.94,0,0.05,Amx19jkF-tCKE,Ix4WNEA0-2uj2,chuEnhk4-tZ9R
Sq9jFOjZ-nd4A,Education,C,11400,13.04,0,0.12,TJvond5k-OZsJ,Sq9jFOjZ-nd4A,LOrdD3hM-coOU
ysAlb77y-F3Sq,Medical,A,15000,8.63,0,0.3,0tIGLjCt-hW4d,ysAlb77y-F3Sq,X9xyqQ1j-SArA
IcetrJpU-E9fw,Medical,E,20000,17.04,1,0.13,Nvnm9CTH-C7k2,IcetrJpU-E9fw,LkP2tik3-sSnx
BYEXeDkR-dAD2,Venture,C,25000,13.23,0,0.25,bO4gkmkL-FJa2,BYEXeDkR-dAD2,Tbd4y0bl-i67s
ZEvonLDn-fSF5,Debtconsolidation,A,14500,9.63,0,0.19,mxZQczPq-ltOQ,ZEvonLDn-fSF5,COFTXTjW-AK18
qaaU5wjK-6jog,Medical,A,9000,NULL,0,0.15,2t0KNhlF-sgyP,qaaU5wjK-6jog,GZKySWkk-KU5v
znKB7aEl-fj2Q,Venture,A,25000,7.51,0,0.15,SIxCl6ke-KiXh,znKB7aEl-fj2Q,xtMvNFLs-S3XQ
OUAP8Tfz-TzvI,Venture,D,14500,14.42,1,0.48,Ikx05jwR-SOu0,OUAP8Tfz-TzvI,IAC1HhiL-rtBG
hFQNlWdT-dRe3,Venture,B,16000,12.21,0,0.13,frMpguAW-39fy,hFQNlWdT-dRe3,GODe0QNN-ZKkk
wwXRseXW-XMpi,Personal,A,7200,7.88,0,0.12,mF9i7UIx-Yihk,wwXRseXW-XMpi,S5EN47u9-xgGL
EmZwDSy7-YsOT,Personal,A,9000,NULL,0,0.14,ASFqZJGZ-UHQP,EmZwDSy7-YsOT,3IBSpP8g-XfhA
i0mCLk4x-HSua,Venture,A,3200,5.99,0,0.06,cY5jOqvW-OFbE,i0mCLk4x-HSua,xE4EvZSN-h76y
IsdSrLLx-Hjdv,Venture,A,8000,5.42,0,0.13,6GmA91UN-eqQ8,IsdSrLLx-Hjdv,nCR9w7jZ-73qZ
lHJyf1H8-48iq,Medical,C,8000,12.87,1,0.31,9oXdgps0-JS4I,lHJyf1H8-48iq,dl06GuPo-mc2q
RiI28CBY-HXCA,Education,B,9000,11.99,0,0.27,z2FwNOgk-DBOo,RiI28CBY-HXCA,TDfr497L-cIxs
ccLb7jaq-h2TA,Medical,A,12000,15.68,0,NULL,WQz1xCtg-rQBx,ccLb7jaq-h2TA,Wx5Mn82L-Zz8N
ru3oxsDC-jRa2,Personal,A,1800,8.49,0,0.08,fMs6fjR8-ylAs,ru3oxsDC-jRa2,L0ftEy0i-Raoa
4AElqFkP-JQ7j,Medical,B,5000,9.99,0,0.24,puFH2jId-fYn1,4AElqFkP-JQ7j,tiGQEEBu-EOky
wQFS87yA-69IY,Venture,E,21000,16.45,1,0.35,MCTnkovx-OkZI,wQFS87yA-69IY,1BNbfBPb-9no0
Yigun4n2-xXpQ,Venture,C,21600,13.49,1,0.4,NzsjcEnb-M4Ck,Yigun4n2-xXpQ,oD4S5Hcb-oRMl
bEGhh4QT-84ND,Medical,A,10000,7.66,0,0.16,IeqaKxFd-z06u,bEGhh4QT-84ND,9Jws0Dti-CacT
