id_cliente,id_emprestimo,id_historico,tipo_imovel,motivo_emprestimo,grupo,idade,salario,tempo_trabalhando,valor_emprestimo,juros,emp_sal,tempo_cliente,INADIMPLENCIA,RISCO_INADIMPLENCIA
g1GDvUjj-IoJj,2hnMHX0e-caej,SkfqfEzL-lKFD,alugado,quitar,C,23,45000,1,2000,13.49,0.04,2,0.0,0
uuxfZCc3-yREE,uCmuTGJI-lgY4,99KTbbun-q4wt,financiado,saude,A,31,60000,5,7200,6.03,0.12,8,0.0,0
355PvPHL-0vhC,x8B2bLLP-a4WB,A4wzjCDZ-t27i,financiado,reforma,B,29,90000,14,15000,11.11,0.17,9,0.0,0
7vMaC87f-hFHi,ltPCr6sE-FXps,jjmTp2gM-kyRe,alugado,ensino,A,23,95004,2,5000,9.63,0.05,4,0.0,0
eLcbSsOy-pOY1,XgoYMTuX-dIJ4,GDenwifY-iS7B,alugado,saude,B,35,27996,14,8500,11.58,0.3,8,0.0,0
t59ApC2m-YYFd,BztZjz7l-APOx,FlYfM4NA-7CZJ,alugado,quitar,C,30,28800,1,8000,12.73,0.28,10,0.0,0
01mYIc8o-5SsX,zzGGi9ec-u2LF,2l0WvCkT-vCj9,alugado,risco,B,22,45000,3,5000,12.42,0.11,2,0.0,0
kGgQ5Ztm-1Cai,Flh8tBUI-8ZwW,UQ7Y34SQ-UanA,alugado,risco,B,31,52000,4,10000,11.83,0.19,7,0.0,0
oXNrwSN4-pHGd,eouval6d-Q1hc,hMRKJ4gx-1Mf2,financiado,reforma,A,28,115000,11,5000,7.51,0.04,8,0.0,0
ygjtMrWx-nI9B,xMWvaKGM-fRSZ,A6DR8gph-6ZRw,alugado,saude,A,23,34000,0,1000,7.37,0.03,4,0.0,0
OD9kaNuK-wF7Y,fTp5F21g-PBe8,IaHdzQXy-jcdy,alugado,saude,B,25,42000,2,6600,10.65,0.16,4,0.0,0
WOm68ybv-4qfz,j48vDxzd-WzCt,TNUugZc5-GAmi,proprio,pessoal,B,24,54000,8,10000,10.99,0.19,3,0.0,0
UC6NWKOR-RbOf,JozrbL4N-z2Ai,Q583ALvw-vCL9,financiado,ensino,A,23,65000,7,10000,7.49,0.15,2,0.0,0
duaNutsR-3WUc,x5vU1QNy-Ef7b,FQ6lnvgr-2l6q,alugado,pessoal,B,28,61000,9,25000,9.91,0.41,7,0.0,1
B2HK6U1k-gRaE,Bxx6AYGv-xK8v,rAZPhS1B-Olbf,alugado,pessoal,C,34,50725,1,5400,13.16,0.11,9,1.0,0
m0EsrCQA-UxF8,ybSH8enN-9zbG,9UdFSUoj-JTbn,alugado,saude,B,23,74000,3,25000,10.36,0.34,2,0.0,1
Yu43ay9a-ReKe,SoRUcWf1-Cyse,QDWjg9p2-RtUT,financiado,quitar,B,31,65000,4,20000,11.71,0.31,9,0.0,0
SniIxJ44-alJb,eJ081Ayo-Frym,jOfMS80i-Zg5v,alugado,ensino,B,23,34000,7,10000,10.36,0.29,4,0.0,1
rz1EWsAa-qLPB,vanxjNZ8-gDET,187qtU8E-YHgw,proprio,risco,B,22,24449,2,1800,11.89,0.07,4,0.0,0
GbKFxr7D-JIO4,eYw1jU0w-hBNF,KN2KKmsL-rJbv,alugado,risco,B,33,108000,11,3000,11.36,0.03,5,0.0,0
YcsNIdbf-tpgT,ZiIYXvD7-5Pca,uRyGLHSl-yawC,alugado,quitar,C,36,46000,2,10000,12.53,0.22,14,0.0,0
SeJTCFwO-KrbQ,9mT4cjye-2LDX,CLOXuuct-rSpH,alugado,pessoal,B,41,50000,0,6000,8.88,0.12,17,0.0,0
G5aDf64O-PH6C,sH2uqDS7-NfhJ,zndaY8Bz-M4Os,alugado,quitar,B,26,31104,1,4000,9.99,0.13,3,0.0,0
HYNz400D-rzsb,eNAftsYx-hTla,4QvCYJZz-Qww5,proprio,risco,D,22,60000,7,15000,16.49,0.25,2,1.0,0
pKtpPsWm-gBb5,q7gXLqBB-y4RD,gAv0hKgA-0syT,alugado,risco,B,25,95000,4,15000,12.42,0.16,2,0.0,0
4ePEsQ0Q-YPAT,a4Ei4NHR-M6JB,P0QctpbZ-tA9E,financiado,risco,A,22,76296,6,18000,7.88,0.24,3,0.0,0
dcRQIdaK-ZrzX,AsZ6UB9S-jvQ3,4Ao59k8p-P36H,financiado,reforma,C,31,100000,6,13000,12.61,0.13,7,0.0,0
qqBMyInS-aGKl,Q8H92GQ5-Fd74,cjShcUOG-HxrO,alugado,risco,A,25,43000,2,7800,7.14,0.18,3,0.0,0
WXqkgy4i-lLX0,uIe8aQoy-hIqe,dlqxbvAI-6b0K,alugado,pessoal,A,25,58020,9,2000,6.91,0.03,4,0.0,0
F9a6bBd9-Xe2o,8HuvzhAq-k7Xi,L42AQtMx-SEGR,alugado,reforma,A,27,68000,4,8700,7.88,0.13,5,0.0,0
lUBk5Wxb-yRTh,7Dxvjo5Z-Jkq2,7fvOUWjo-u4wJ,alugado,ensino,A,35,30000,0,6475,5.42,0.22,7,0.0,0
b7tdrgrW-ayvE,c2TKWh0I-ocZx,4inK3Tv4-C6LS,alugado,pessoal,B,26,40000,1,12000,11.58,0.3,2,0.0,0
Tvok7xAu-oB5c,GAtuyfvq-9kKD,HfsqwiRm-nB28,alugado,quitar,B,23,50000,4,6000,11.49,0.12,3,0.0,0
c7N00Xkw-EjwP,TDkjPUqd-ndPx,6Uah3ah8-rfUd,alugado,risco,B,25,61440,9,8000,10.36,0.13,4,0.0,0
gPzGTvzd-YCHw,FptECc0u-OiGF,ME0OTs5h-qjMp,alugado,ensino,B,22,29000,2,10500,9.99,0.36,3,0.0,1
gYjoo3jD-emAd,uDlmyeNO-dbNN,CAcJauAz-ctJX,financiado,saude,D,25,44000,4,5550,14.11,0.13,4,1.0,1
cG0aCPes-61zD,CjrqlOBY-C0rM,saYaqFAW-ePFO,financiado,pessoal,B,23,50000,3,10000,10.99,0.2,3,0.0,0
2qL2TpcA-3UO0,LoQ6fSUb-Oz9B,yyxAqFSr-rcKu,financiado,pessoal,A,26,108000,4,9000,5.79,0.08,2,0.0,0
zKhBXo2u-WqgH,oWxhfJ5z-XbcS,dNdJZagZ-EYux,financiado,ensino,B,23,70000,5,20000,12.21,0.29,4,0.0,0
SragtXBq-e1es,OfP5DP80-WTnh,vWBPETFN-WZbN,financiado,quitar,B,25,80140,4,11300,10.37,0.14,2,0.0,0
DWSEWuzW-0YNY,EenI4oK7-W08Q,wAxLWQ8O-powv,alugado,risco,B,28,34000,1,4800,11.49,0.14,7,0.0,0
6wjmTJ6Y-hQGF,PxNZBxYl-2e3i,0xnnXI5T-xBOL,financiado,ensino,B,22,78413,6,17500,10.65,0.22,2,0.0,0
JFCnlUKo-opAW,WqqAxdoR-mNAa,uo02FqyD-sP5N,financiado,risco,A,21,24000,0,3000,7.9,0.13,4,0.0,0
4BCj5iMI-SvAr,dzApwnYM-OIBi,nAqbykfb-2whQ,financiado,saude,B,27,22800,11,2500,10.99,0.11,10,0.0,0
hBn6Nj78-fvgu,w1JRom7y-y1od,2SebLJsQ-lj5F,alugado,pessoal,A,26,31200,8,5000,8.63,0.16,2,0.0,0
OUcAOZQh-aQLy,9dov9RBP-etrY,LaJgumz0-dtyI,financiado,ensino,D,39,65000,3,6000,15.62,0.09,14,1.0,0
NiumiXy3-ZCWU,k6gvpaPQ-hk69,R2MiB33I-ZKkD,alugado,quitar,B,25,45000,9,12000,9.62,0.27,3,0.0,0
9Gbo6GjU-I4vH,8g7OWEJO-Du7T,FpZNX7aC-n4LP,alugado,reforma,B,24,25000,0,8500,12.21,0.34,2,0.0,1
e23slzE8-B0Ax,c048XsHF-y51I,lllfq9ft-0KFp,alugado,risco,A,29,24960,13,4000,5.42,0.16,6,0.0,0
ds2jH5KJ-WuMF,7rquRb04-0CEL,Cn135ogy-bKDy,financiado,pessoal,A,22,81600,6,1300,6.39,0.02,3,0.0,0
AplH4Lwm-gyYK,H7WZlXS5-Rjyu,rZoiEpPc-bciv,financiado,quitar,A,25,90000,7,6000,7.14,0.07,3,0.0,0
pMajKnu6-53f4,RpFauaAu-LzeN,QHGwl9TO-5WKP,alugado,saude,B,27,44640,0,12800,11.83,0.29,9,0.0,0
Q5dqB97I-TEjJ,UjQWv0nx-pw3f,1G4XQSD0-EUYu,financiado,ensino,B,24,85000,8,20000,11.11,0.24,4,0.0,0
CZWcNgWA-kbk4,MjTNYsmN-6qBc,FxGG9RvP-Le3z,financiado,quitar,C,26,87000,9,25000,12.73,0.29,2,0.0,0
mvkJyvGc-yYuw,h0oDhLmM-OrEm,IKk1KTWI-y4IG,alugado,quitar,C,22,54000,4,9000,15.96,0.17,3,1.0,0
WS5U2tKu-iGtE,nZJqWH9s-yKAW,fJ0KRNk3-k0Rx,alugado,risco,D,22,43000,1,7500,14.96,0.17,3,0.0,1
Mucn0ump-Stue,BmUhdDn5-YUDX,skrBzl9k-6XSu,financiado,quitar,A,24,78000,8,3600,5.42,0.05,4,0.0,0
F8sjbtYh-Ntuc,s23EevcN-d0JX,q3SsWfhh-eib9,financiado,ensino,B,22,73000,6,7000,10.59,0.1,2,0.0,0
LTD2XdcS-ZCv4,ob9Yrlfi-Ocpc,iBDB52Wo-4WAb,financiado,pessoal,B,24,65000,6,11000,11.49,0.17,2,0.0,0
K61MH9Be-kQJ1,JvkTGpaD-ra8i,zSExL9u6-EOE4,alugado,reforma,A,32,230000,0,15000,5.99,0.07,5,0.0,0
5mRksQM9-eExJ,EWKeCA52-k771,AE9jiGaA-WlNL,alugado,reforma,D,23,35500,2,9000,15.99,0.25,2,1.0,1
aJCQ5hY4-MiS6,q0bvJBPd-qrJN,uBExJeBT-hicI,alugado,saude,C,22,104000,3,15900,13.49,0.15,2,0.0,0
18UJRYaa-ZMs6,oSUPE75N-HwUi,UfosSYa8-hY8Q,financiado,risco,D,22,64312,4,5000,14.91,0.08,4,1.0,0
BAOYgg91-Dmlx,Txue7n0E-pQ4T,Hcp70S5d-El0J,alugado,ensino,C,23,20664,4,4550,13.72,0.22,3,1.0,0
qoGIpKHY-qEyQ,BH9qOpoC-Psvs,lmAkaOGs-iN3k,alugado,reforma,D,29,60000,13,17000,14.96,0.28,8,0.0,0
sOhkjxha-2BpL,ytIdu6Om-focr,pltL0SOO-FhkN,alugado,quitar,A,28,31200,3,3600,6.39,0.12,7,0.0,0
n30qucW0-y8nf,2lJGIqQM-bp5M,thjENh4w-5DRM,financiado,reforma,B,30,36000,14,7000,10.65,0.19,5,0.0,0
WxbsddLX-16Ok,A0wzG4hq-KJ7T,xIZ02Rds-vthd,alugado,ensino,B,34,60000,1,10000,9.62,0.17,9,0.0,0
19PcvNsb-Q2EX,YEt0gafB-dAdf,U52bX4kH-XWDk,alugado,saude,A,22,30000,0,7000,8.9,0.23,4,0.0,0
WTaTWD7R-nB26,emllPw3q-SPlj,l45L15fR-YZxS,financiado,reforma,B,28,72000,9,18000,11.89,0.25,8,0.0,0
WWsDFeYW-ILfo,iPZw4isE-pQII,imr5pNYL-ahjh,financiado,quitar,A,22,90000,6,16000,6.03,0.18,3,0.0,0
pwTzr4SQ-47xw,KGblymA5-FOvO,AaFWnCZ5-rQWE,alugado,ensino,B,33,62400,4,15000,11.99,0.24,8,0.0,0
v0bZ8uAY-hxvk,Whr56GP6-egwr,UjTc82nd-qwG2,alugado,saude,C,30,75000,2,6000,12.68,0.08,8,0.0,0
bRYeof0L-cqHI,0T2YFLWb-IZze,0Y1a64ag-4RLW,alugado,quitar,A,30,100000,13,12000,7.88,0.12,9,0.0,0
sgPHvjSF-4drq,P5oUt27z-hpBS,AhDlN67H-dJ6a,alugado,pessoal,C,31,28800,0,6200,12.23,0.22,9,0.0,0
yuc3qfdx-Onja,4kkDYjoH-lbFt,401KANYb-30fK,financiado,saude,D,27,91800,4,25000,16.07,0.23,9,0.0,1
YUBW1l1Z-CJlc,tCU0Nzur-aMzy,t1OeeRmK-C0cN,financiado,quitar,A,22,88200,6,21000,6.17,0.24,2,0.0,0
r7gg0Ukx-SkjG,kWJLMt5l-AoyM,3K230qMt-1qjk,financiado,risco,D,25,60000,6,8400,16.89,0.14,3,0.0,0
iaIkFQGz-2Knj,k8hIJy3l-H7bm,MtEjHHxc-YXWF,financiado,ensino,A,33,63996,15,3200,5.42,0.05,8,0.0,0
Ud4Ze4ac-afSM,Mfr1xgxL-TWCp,5O1cpjpw-IQv7,financiado,ensino,C,22,56368,5,6000,12.99,0.11,2,0.0,0
Z02cn5rP-NABf,MrGTH2Nb-zMXp,PBqTrqXN-1Kww,alugado,pessoal,C,23,30188,3,8000,14.65,0.27,2,0.0,0
0NUo1qwp-bP8D,Bou4wh7A-0NCB,9Z8oxfzn-TlcL,alugado,saude,C,23,32000,0,8500,13.16,0.27,4,1.0,0
vazRHZxW-aH3R,oh0uoLeR-9L0L,4N0WnLvf-iH01,alugado,saude,C,39,48000,3,8400,12.53,0.17,17,1.0,0
m4ET0TY0-ECS7,AnqoSbMH-tbFI,jaUxyfpZ-WJUn,alugado,pessoal,C,22,35000,4,5000,13.23,0.14,2,0.0,0
P5aaxbP0-gGHo,hZerzTIu-GUUw,0KJaNxsh-IeYK,alugado,quitar,B,23,17688,0,1700,11.11,0.1,3,0.0,0
wzOKaXaA-HRcE,MNW74JpF-U2Ma,uqHT6iWD-taWX,financiado,quitar,A,31,190000,4,9000,6.03,0.05,7,0.0,0
vX1YNB5l-t3Ck,ez3kYm85-1UnZ,UyE0z1EZ-8Kd6,financiado,pessoal,A,31,111000,3,5150,6.62,0.05,7,0.0,0
MKM7QJze-OyuM,ct6W8N79-J8vq,T5OBOp5W-rW6G,financiado,quitar,B,25,54000,9,12000,12.53,0.22,4,0.0,1
EARG280W-obvm,wAhreapv-hUpI,ZUvtRJSf-NldL,alugado,ensino,A,23,52800,3,4500,6.76,0.09,4,0.0,0
GpYlfI6I-E5PZ,t000FCda-AWsy,AnLodx0w-SWCD,alugado,ensino,A,25,42000,2,12000,7.9,0.29,4,0.0,0
mAlnuZeM-MHLf,xjSJJMn1-ci1w,wTd8AaLE-z46T,alugado,pessoal,B,37,44000,0,1700,10.59,0.04,17,0.0,1
sfa9UMWH-ObWu,JZUwT5vk-NjBp,hBd5yTaX-yGDr,alugado,ensino,A,25,44000,1,2800,6.92,0.06,3,0.0,0
qvOkUEew-AHlI,jGosfFS7-dLtg,lji8xcaf-DhkD,alugado,ensino,C,23,60000,1,11000,14.22,0.18,4,0.0,0
frMpguAW-39fy,hFQNlWdT-dRe3,GODe0QNN-ZKkk,financiado,risco,B,27,120000,2,16000,12.21,0.13,5,0.0,0
ATWus0Mh-PWQ9,aEUb2M00-eset,uhq86SCF-D8eP,alugado,quitar,F,23,34320,5,7000,18.3,0.2,3,1.0,1
6b2w9ujK-f93t,ITuk3QGM-22Ye,ziZMe43g-D9J9,alugado,saude,C,23,44000,7,9800,13.11,0.22,2,0.0,1
0fP1s82F-x029,9ozZjt4U-ibHm,S3PJBbMM-Tx2s,financiado,risco,B,26,85000,0,20000,10.37,0.24,2,0.0,0
58SzBJPX-2aPl,yCNoyWOm-D7ls,BPZKcC6o-r9ko,financiado,saude,C,24,36000,3,8000,13.61,0.22,2,0.0,0
zib1eu0E-Xfwa,HWi6fh0W-MCM3,6Zi07c6w-b5af,alugado,pessoal,A,31,86000,0,2000,5.99,0.02,5,0.0,0
EZwfD2M3-CeWr,xjH6y7XN-ZcFe,yBivO4jB-FvjW,financiado,reforma,D,28,130000,2,12000,13.55,0.09,8,1.0,0
8q8EbTnf-cqgA,Szhx9mHX-xQGN,B9PIjGrA-3Kx5,financiado,quitar,B,23,74758,3,11050,10.37,0.15,3,0.0,0
OqqpjWly-vcmN,zBEL4YnB-kdbM,yGdEN8rA-04Dq,financiado,reforma,D,26,72000,1,10500,15.28,0.15,2,1.0,0
4Xx4lOO7-OKeO,8g7rCr17-HOP7,B7zCTO09-z01P,alugado,saude,B,27,35004,7,5000,10.75,0.14,8,0.0,0
gQB1vBJT-l3QD,Nn6Xqn5N-z84b,lIIvEYGR-uHEy,alugado,quitar,A,42,30000,0,4200,7.49,0.14,13,0.0,0
x08Ho4Kj-6zXR,2Mz6hDjD-lt85,Qfg0l7nz-bpym,alugado,saude,E,28,70910,8,3000,17.44,0.04,5,1.0,1
DkInsqgZ-OdWO,AoPaNyOu-MtOW,syvvStng-AqDR,proprio,ensino,A,26,28800,8,6000,8.9,0.21,3,0.0,0
3m8cwB1s-zYLa,oKQRc225-4gdg,CZwUXdeZ-kJ51,financiado,reforma,B,26,250000,11,9000,9.99,0.04,2,0.0,0
uwE9Pjsm-rcqA,3Od8dLo1-I48u,pLwfJrUM-i4kv,alugado,ensino,A,37,63000,1,14900,9.63,0.24,17,0.0,0
lXTftHnB-NQci,ZCHgaycA-wXoB,afRzDCJ2-23JP,alugado,reforma,C,28,65000,2,7200,13.98,0.11,5,1.0,0
g9HTezr0-zFnU,dzqb24uS-x34l,mPlPCvAW-DjQa,alugado,saude,B,32,85000,5,12800,10.75,0.15,7,0.0,0
j4vXE3Oc-qZ1O,k2reFgAe-vbTk,fhbOrWGh-jQj9,alugado,reforma,C,30,71400,0,9600,12.61,0.13,6,0.0,0
9oXdgps0-JS4I,lHJyf1H8-48iq,dl06GuPo-mc2q,alugado,saude,C,25,26000,4,8000,12.87,0.31,3,1.0,1
wKkI2DIn-tH7X,qecKkI0Q-2aPG,TPTqh2Wy-fmbY,financiado,quitar,B,31,110000,4,6000,11.99,0.05,7,0.0,0
4y1mw5uX-hLSY,P3rY3WD1-i5N9,rUX0cm7d-i4L3,alugado,reforma,A,26,120000,3,5000,7.68,0.04,2,0.0,0
18u90vul-Ud0R,Te29JxTb-LL95,5dfawivK-2MS3,alugado,saude,A,21,35000,5,9000,8.94,0.26,3,0.0,0
kL8ulXbB-uq9A,i389k8xK-JhkX,vo7tzayB-qX75,alugado,saude,A,23,51000,1,7000,6.99,0.14,3,0.0,0
F8Lbira7-WcSx,Gg3t9iFr-4vfp,sgfvF12l-iIQC,alugado,quitar,B,23,20800,0,3000,11.46,0.14,4,0.0,0
AyRnlhYs-2sWu,FYsX8als-cQBj,nChtLOUU-h0IL,alugado,pessoal,A,37,14400,2,6950,7.66,0.48,13,0.0,1
gXXpZIqg-iYHj,vK916AMx-KM4N,CHNmY6WK-85zp,proprio,risco,A,25,49000,4,2500,6.76,0.05,3,0.0,0
lZxnmaq8-X4ea,dg7GKrfT-gMBG,rEGzP6ue-N8Ut,alugado,pessoal,B,28,42000,5,4800,12.42,0.11,9,0.0,0
9rOwdewg-dscR,tAECKApG-BwoQ,J3Hcv8DE-ZaPY,alugado,quitar,D,22,22292,5,3500,16.49,0.16,3,0.0,1
nIMvecfo-Q3Er,KZZ0BZZR-nhso,QDcxebvS-7azr,alugado,pessoal,B,24,36000,1,8000,12.12,0.22,4,0.0,1
