person_id,person_age,person_income,person_home_ownership,person_emp_length,person_id,loan_id,cb_id
DBa4bxd9-HUnN,30,NULL,Rent,0,DBa4bxd9-HUnN,shqpyIjf-U8xU,SovduQuk-ioGA
bWBG5sxh-O8H3,21,45000,Mortgage,4,bWBG5sxh-O8H3,gEPFdDtv-n6z8,914X1W2D-PEHF
BZqvILRq-w77J,27,42000,Mortgage,0,BZqvILRq-w77J,8B7eHCKa-EgbZ,pmJfd9Bd-koZo
2SMkEiY1-lfZF,NULL,45000,,3,2SMkEiY1-lfZF,WbDt3jjL-cIfH,4kHx55U2-2mES
bRYeof0L-cqHI,30,100000,Rent,13,bRYeof0L-cqHI,0T2YFLWb-IZze,0Y1a64ag-4RLW
d0YRlkdZ-nuLT,28,83000,Mortgage,6,d0YRlkdZ-nuLT,xzTEiD3e-BbFZ,Z5LA433k-5vqf
zkFNiaiq-S3KA,29,150000,Mortgage,14,zkFNiaiq-S3KA,aCvxYvg3-1uQU,Pvox78f0-Mriv
Xw48G3Ub-zfyl,27,37000,Rent,NULL,Xw48G3Ub-zfyl,9qAgSRYz-9TEO,rxjKKPyc-ERNu
DoyI6xRQ-2vbh,28,60000,Mortgage,12,DoyI6xRQ-2vbh,i2wR5291-0GMy,fgqoOqT2-3p46
GN6ytQnE-DzMK,24,117996,Mortgage,6,GN6ytQnE-DzMK,WbeWEny4-1t34,mMtKwh3x-cEpY
CeagASdu-IzPS,27,100000,Mortgage,2,CeagASdu-IzPS,N9r9qFQn-RUjU,ZusT1pqx-IDiR
ICprTb6t-yPXf,25,42000,Rent,3,ICprTb6t-yPXf,5JiaDi9D-tg1l,1lafB6Nt-Yb9L
tREBnFsO-MvyH,25,55000,Own,1,tREBnFsO-MvyH,CkmEg4D2-tqBQ,EWgmyfcv-zPWH
Rb8k12Zq-S58b,27,24000,Rent,2,Rb8k12Zq-S58b,L88dgHTW-gh06,JyLwW0Ov-t1oB
bvxfcsYz-78hf,24,62400,Rent,8,bvxfcsYz-78hf,hYW1c9t4-3BiA,rwUmzgZy-WKZB
a0oCgIUk-XbHt,26,132000,Mortgage,10,a0oCgIUk-XbHt,OJ7jFrqF-TaZN,Ba7Shesl-FnGN
vxSRsB72-r0df,32,220000,Mortgage,13,vxSRsB72-r0df,dWNhrE0n-Daya,XIksUpRj-7oPH
8HJkpRUF-fE2T,24,40000,Mortgage,3,8HJkpRUF-fE2T,nsSBn0zA-CADU,ByyHLaTN-3l3S
n5kjPGXc-X26m,28,22188,Rent,9,n5kjPGXc-X26m,H23kjItw-57a4,UA80ezoL-9F94
Nvnm9CTH-C7k2,28,127500,Mortgage,5,Nvnm9CTH-C7k2,IcetrJpU-E9fw,LkP2tik3-sSnx
LHiNCTAj-LUj8,37,68500,Rent,2,LHiNCTAj-LUj8,7Tvx6JjP-85it,CQoagprZ-6cEE
Nu0P10J0-PBJC,27,54400,Mortgage,11,Nu0P10J0-PBJC,ssYFDnhD-TyHC,cND6TCqh-BJPy
vNYYXDrL-WHCt,23,38000,Rent,0,vNYYXDrL-WHCt,L5kXqccu-5w5P,UWf7Ohww-Cxlw
R3XUEoLU-tcvG,40,45996,Rent,4,R3XUEoLU-tcvG,zSlRTv9t-JnYS,vNikMFUU-62jC
oxfr5wEr-pnjf,27,15085,Rent,2,oxfr5wEr-pnjf,8QSZvaiW-c4G8,hY0EOEaj-GSIa
SsiuOmIu-yDyF,28,60000,Own,0,SsiuOmIu-yDyF,n3JPfysq-ZNkk,BnqfmsU6-R4nT
e6UBZCqm-1fnL,25,24000,Mortgage,0,e6UBZCqm-1fnL,jtUaT92L-W55Q,Hn6dGjED-gPQH
TqMkt1FG-n6Oa,26,78000,Mortgage,7,TqMkt1FG-n6Oa,Xyppv91Z-69Pk,XiKZ4kpG-MQkv
hoxwmYCK-CWcb,28,73073,Mortgage,8,hoxwmYCK-CWcb,KEIbtO8I-2gfz,XHX0vR63-HBeM
WQFxiLDX-jF9h,23,44400,Rent,0,WQFxiLDX-jF9h,ij2fZzbF-EBnk,aUpUCAOs-819J
LQoFioEX-ZpZc,26,33000,Rent,4,LQoFioEX-ZpZc,hYQYQPwc-UDv1,nf5AGWIt-QS8b
vbwEfJTD-LdID,35,52000,Rent,2,vbwEfJTD-LdID,6ABpkht2-SdCN,CE0NeKdg-IICE
G1pWB5Bq-mkFg,25,31200,Own,9,G1pWB5Bq-mkFg,Y5rt4Pf1-RptN,H5uMTSKK-ChzA
8b5caH2B-xpiM,46,80000,Mortgage,8,8b5caH2B-xpiM,FmGcdv7M-ZIg8,pYQuQ7Cz-IAJh
JQ5Ak42k-FPCW,27,110000,Mortgage,3,JQ5Ak42k-FPCW,fxslUJlm-nOgD,kooL1Skg-Cgia
kQQeca2S-ffk0,23,57600,Rent,3,kQQeca2S-ffk0,jXh7k5gN-biw0,olg28RQi-d6OY
lcqRtNAK-T75K,23,40000,Rent,0,lcqRtNAK-T75K,NtKgv8vn-l8dm,ENB52L4g-FBDe
B7Bwy0bI-LFeT,23,48000,Rent,3,B7Bwy0bI-LFeT,MpWCxnpz-12FN,GCm9wr3b-2Pvm
X37IRs9S-wl0A,23,98280,Mortgage,7,X37IRs9S-wl0A,FW5qnhkC-QCDv,93u6RjHO-B9qA
HgzlswZ3-HRNL,23,113000,Mortgage,4,HgzlswZ3-HRNL,lS3p1FBc-cBII,dvrgwpyy-g8Aq
JTDL4rdY-ZX45,28,30000,Rent,0,JTDL4rdY-ZX45,pw1D8xS2-dvfH,dctkd8zk-uYR6
HbrydfnA-9ICw,31,37000,Mortgage,12,HbrydfnA-9ICw,FFlqdskU-IB8N,Xd1j7BSM-wXP7
YmcEJPET-kcbF,23,75000,Rent,3,YmcEJPET-kcbF,9wz2GWk3-knDh,hDbsOmi9-vwnJ
5NnR5Wdb-rqzf,28,62040,Rent,0,5NnR5Wdb-rqzf,2iRKmz7M-4m16,wwdxOSuG-0KlF
qit5xohQ-TqnJ,22,21600,Own,5,qit5xohQ-TqnJ,QnbGAgz0-bPvz,DLpc52HC-1NYz
J7ms3ivK-NKHa,22,48000,Rent,7,J7ms3ivK-NKHa,QRyvln95-0sMo,fuZYEeKO-Cnif
fGFapOfW-LK7a,27,45000,Mortgage,7,fGFapOfW-LK7a,4qLbxkgv-fSEk,5XFGnOcK-JutL
r7B04ESr-k4AC,27,69000,Rent,5,r7B04ESr-k4AC,SUvB9aLj-AGer,qxEhmrC0-BsP0
iTT84qed-U90h,24,30000,Mortgage,4,iTT84qed-U90h,iQcqgEvZ-lP8Y,ifD8A8an-g5rl
gBGhZQCP-fvPe,27,64000,Rent,3,gBGhZQCP-fvPe,yskrCuGZ-eQ27,ucQH7loD-C8C0
9FDLodgY-Lpzf,23,60000,Own,2,9FDLodgY-Lpzf,H9LosMN1-QPaH,87qA8hsK-BDXZ
2bH9Byg7-QUq0,22,60000,Mortgage,6,2bH9Byg7-QUq0,OWoOh1ac-OYPn,PFS6MWLU-nwZF
NumKZocf-22TN,29,70553,Rent,8,NumKZocf-22TN,PQaOfdA4-hb61,PIjJYqGo-WBbK
UDZ9CDbf-rovD,22,50000,Mortgage,6,UDZ9CDbf-rovD,hx1IYI6j-BSJE,b3SE1FPo-27a4
GsKOyLnD-Lg1I,31,47000,Mortgage,10,GsKOyLnD-Lg1I,t9iiQhmQ-nkN0,TsYNensB-qMlA
1Eu5FLGq-5pHa,23,100800,Mortgage,4,1Eu5FLGq-5pHa,wK4X1XQ1-awq8,782hejIx-zHTc
DdWlM117-ak62,24,39000,Rent,0,DdWlM117-ak62,jWGSXAJI-eyvO,rJXOeRDr-R6MB
lwqlaSe9-hAYR,56,90000,Mortgage,0,lwqlaSe9-hAYR,mW9tPtGN-hla1,ZgnE56yN-0X4S
gnEgOIEj-8ato,22,32000,Rent,2,gnEgOIEj-8ato,LhOctYN4-la2N,TfUlan3h-KTk5
fQFMo1cB-6FUM,24,70000,Mortgage,2,fQFMo1cB-6FUM,5FBWylnt-Shf1,nJgKMOXr-Loyd
ruFQPjYy-3kGh,31,96000,Own,3,ruFQPjYy-3kGh,Z9jTnATA-u55X,2yn672i2-MO6j
3IUXWl9k-zZBI,34,60000,Rent,0,3IUXWl9k-zZBI,ttJ8KxwC-rjfe,r5smB5sd-MkUA
Ke9GAsjD-4ICN,33,59000,Rent,17,Ke9GAsjD-4ICN,OXFo4pfx-G9Rd,p25AZZxp-C9Dd
ZSCaY9Rc-iwjZ,21,39996,Mortgage,5,ZSCaY9Rc-iwjZ,uRZ06p11-nI82,xaJMEkN8-1Jzl
fPaJgnly-lvWC,33,21600,Rent,3,fPaJgnly-lvWC,yMgTHJP1-cidQ,78uDWQpn-BkrQ
LwOZfakM-0t6a,NULL,34000,Rent,10,LwOZfakM-0t6a,Oe8nCsAu-Snz3,nIjzjrBU-w1ce
9DIN9EgY-RIeS,25,65000,Rent,3,9DIN9EgY-RIeS,bqqMkyuP-ON0X,jgbx81Mm-8h8x
cz9732JU-nn2k,30,144000,Mortgage,7,cz9732JU-nn2k,8q8irpWt-C4TX,MtIFhXS7-EHDH
iChiXmvq-CiJf,38,72000,Mortgage,2,iChiXmvq-CiJf,nNrUTJSN-SzE3,NPX5bOQ3-foRt
E8n6WwCF-dddz,28,142000,Mortgage,3,E8n6WwCF-dddz,I1sBlR8R-REG4,O4JNjEfw-7g7v
jgejgj4Q-T2mX,24,70000,Mortgage,4,jgejgj4Q-T2mX,Qd1z2fzs-XCRq,nwNw9KhT-xSE4
iFdfdn1i-D4va,33,34000,Mortgage,8,iFdfdn1i-D4va,c7jcC2yj-luly,f9skH1tU-cxo8
pLuFjLkR-OMPe,37,51000,Mortgage,3,pLuFjLkR-OMPe,BdT2y5Rm-gciu,01ChAajj-wgLb
Ml1kmqQC-B7Od,33,56400,Mortgage,3,Ml1kmqQC-B7Od,KSDquwLK-pPsr,IUNxXWWk-QJHC
ldZnOPlI-kAUB,32,24000,Own,2,ldZnOPlI-kAUB,ckySBv49-2hQs,kmRxjR06-mB0v
Op9wORK6-A3Yb,64,56000,Rent,0,Op9wORK6-A3Yb,UbMs4SBi-jsQQ,9IDtTDHK-wPXd
zjfoYKKD-w0MI,24,88000,Mortgage,2,zjfoYKKD-w0MI,bkkFivp2-MCQn,qKflXH8K-hwKH
5yN4vDpU-f97z,33,52000,Mortgage,1,5yN4vDpU-f97z,FrcLJqrZ-Y4dS,OawIOW4Y-FEkS
sPhRnadI-m5WM,25,75600,Mortgage,7,sPhRnadI-m5WM,SBWNH4Nf-qE4I,9D2I8rvA-NoCA
K7zoRhxn-eb7l,28,20292,Rent,3,K7zoRhxn-eb7l,lRo3zwU2-PRH7,0Rqls6p8-2YNy
GL4hbqKs-aIMm,39,31200,Rent,2,GL4hbqKs-aIMm,7cLq6P9y-KwK4,9SXwdUC7-D0Sl
7a6d1Mw2-B4CC,24,120000,Rent,4,7a6d1Mw2-B4CC,GRSGBI76-CDAK,aGmN2Tt5-r5HL
x3oR45Uy-UhsU,33,59000,Mortgage,6,x3oR45Uy-UhsU,A1sul6fL-Hrqy,qINadLtE-fSzR
yMAKyaOx-UwAw,29,57600,Rent,1,yMAKyaOx-UwAw,KZXEXzce-RcCZ,k8YPUIIn-0wZi
X8aSokc9-WfDj,25,106226,,9,X8aSokc9-WfDj,RbptCmHu-4MMa,l2YlOrgO-Fj2i
PaMhFZfn-Clcy,30,33000,Rent,4,PaMhFZfn-Clcy,NsPkuTNb-em06,B9y1nsDy-Ov7R
diEy7GXZ-ZpfD,21,68000,Rent,3,diEy7GXZ-ZpfD,PGJhTnlK-kJJr,rbgtxozw-DKEd
rymn8Nzf-ivFW,28,30000,Rent,4,rymn8Nzf-ivFW,xuJpxw07-Q3SQ,8Z0oiL6N-hlEJ
4Y1sMQM0-dMpM,22,70000,Mortgage,5,4Y1sMQM0-dMpM,1zGoRqwW-0fUc,UQPxwLqq-ZjnQ
7jluALwX-Ds7S,40,75000,Rent,NULL,7jluALwX-Ds7S,Mk4NNELA-tIn2,sQl10A1C-s9uT
r3l5Cqbs-NwmR,23,45000,Mortgage,2,r3l5Cqbs-NwmR,eT2Ct2mI-A3jW,C2kMBDrT-rrS8
UJdC5KZu-plFs,36,42000,Rent,1,UJdC5KZu-plFs,BnaYytrJ-t7HD,K167S7O2-Fl8c
W6OrWN06-2MAy,31,64900,Rent,2,W6OrWN06-2MAy,np9awxxf-u2ab,iYK0xidJ-lBDt
2qGyeyKT-w2Jl,37,43000,Rent,0,2qGyeyKT-w2Jl,I7J0qb0y-mhYu,8PpFpXDH-W0f4
nkiIhdGO-NBMp,23,90000,Mortgage,1,nkiIhdGO-NBMp,rT4Wvc97-8ev2,5F6vvXed-iudi
6kSi0Jvt-Kmpm,28,48000,Rent,2,6kSi0Jvt-Kmpm,X7JqGeer-ejEE,UzSl00yK-yKB3
1UiGOR3l-TihK,21,32000,Mortgage,NULL,1UiGOR3l-TihK,cJ5bkS6N-uS4T,iKLZUswt-deOF
viQ4srke-hNLs,21,65000,Mortgage,5,viQ4srke-hNLs,6F2GWLjZ-gCOl,pG3NluL7-P3CN
d8isYNEf-dl8I,27,75000,Rent,5,d8isYNEf-dl8I,7T2djKxB-QbPd,rJSyxGqm-d7wB
OhXqHBN8-T6GS,22,66000,Rent,0,OhXqHBN8-T6GS,8ZFLBG60-vvhf,AN43dzir-7h0q
DPxYM55y-FcCU,53,85000,Rent,2,DPxYM55y-FcCU,mo0Oz4l8-phqw,2u346UE7-6ryr
vPALdqGg-YAJ9,25,72000,Mortgage,9,vPALdqGg-YAJ9,CdwrRBpx-lg2G,7fkYCj4v-iJjZ
taEX0UEW-X0Fe,25,55315,Rent,3,taEX0UEW-X0Fe,OoRL4zEr-YXaQ,u5bzg1AW-WyRn
SLs75PnT-5scB,25,54000,Own,5,SLs75PnT-5scB,gr1nuMqE-EUFb,IOzGGBad-1qFp
YtmkENeR-lmvb,23,25596,Rent,2,YtmkENeR-lmvb,v6F8fsoo-xC17,f61fAsw5-eBhF
cbWvHOZa-FygL,22,50000,Rent,7,cbWvHOZa-FygL,HojZL354-uFr3,gZuKNU7S-uXdO
eyD8j8Jm-AyT7,36,31000,Rent,2,eyD8j8Jm-AyT7,xdCoQ94X-rUhG,WtrvELv6-IYRB
UQQX94Ab-5P3e,24,NULL,Rent,0,UQQX94Ab-5P3e,0BlY47CR-2ipl,jDjFdor4-EnA8
dPgMrFqz-Yxaz,25,61200,Mortgage,1,dPgMrFqz-Yxaz,v4jTBwn2-Mb7n,c2nRadJb-0PLK
lR4RN8mu-fPga,22,29004,Mortgage,6,lR4RN8mu-fPga,OAWsP7aY-dwDy,XeKWY3Sp-zTrm
XGrCoDSO-o1xh,22,41000,Rent,2,XGrCoDSO-o1xh,Xf5yXYgw-c8Dj,wnkIY26E-YjPD
dp9O0OvK-Lr6a,36,37008,Rent,8,dp9O0OvK-Lr6a,9HclnAUb-HoAS,iuWeMFk1-779a
U0nP7FCd-eCBv,24,39500,Rent,0,U0nP7FCd-eCBv,gOKJG3jU-8nr4,P93D24Ct-KjsT
nyk4I3gE-WKO1,26,30000,Rent,8,nyk4I3gE-WKO1,9Ds1NDAs-ilDd,6QfQaBW1-p8kH
dm36E1cl-Q8CF,31,75000,Rent,5,dm36E1cl-Q8CF,w2MfCDxt-qn7v,2hhEhbYF-149Q
NWM1fUTn-C6zs,30,34046,Rent,2,NWM1fUTn-C6zs,mFZ3cn7R-xPHE,5dg6KpIL-vOuW
TBP8t05P-083S,36,99500,Own,5,TBP8t05P-083S,e6RRXFqn-pYK8,d2pODZBJ-aioM
7jxqJIuP-I1OS,26,27000,Mortgage,NULL,7jxqJIuP-I1OS,h061JUJS-ssbb,NDJXG9sO-ddFT
mKrzI03Q-Yb4p,24,105996,Mortgage,7,mKrzI03Q-Yb4p,BjOgm6fr-PZaC,GuKFmSGh-LMPx
hwapvLIF-2PAR,24,30000,Rent,2,hwapvLIF-2PAR,SLA0hIlF-8bIC,6KPB36jm-wtW8
Av0IT3iL-S1hH,37,91800,Mortgage,21,Av0IT3iL-S1hH,JIKMsJ13-GJSi,dbXgqTMS-4NSc
yTr2hpOb-ubtF,21,14400,Own,0,yTr2hpOb-ubtF,kncphLer-rPL8,UXSF7wdN-ErHl
ojrWfsHy-WKlK,35,88000,Mortgage,18,ojrWfsHy-WKlK,3jrgnNck-qQap,Ak9hXGls-ID63
0LZRKJoU-xFsA,27,100000,Mortgage,11,0LZRKJoU-xFsA,3NRmC7t6-HXsi,Qull9x1k-gQtD
nfq9aCe1-KJj5,22,74500,Mortgage,6,nfq9aCe1-KJj5,WHAo9aUd-sqSM,qpZl0arQ-P0Zv
IorcgtE5-QekT,33,38400,Rent,6,IorcgtE5-QekT,O4Clqqu0-ZJ44,fRxIdKZk-pHL2
0xq5chpv-Gje5,30,70000,Mortgage,9,0xq5chpv-Gje5,YpmC7i0g-UvB8,n46EgLu6-kHPb
0mg5QCvx-Xuza,21,27996,Mortgage,5,0mg5QCvx-Xuza,Q5ax8QZv-4qmA,GmeWoilv-AyW5
hTrxLBIi-7loA,38,40000,Rent,19,hTrxLBIi-7loA,HZxze8S1-yhAH,0nLNyfFC-IalR
D2Ls1bE2-6p1T,40,81120,Mortgage,1,D2Ls1bE2-6p1T,akcQLWec-H9s3,vb1wahP1-DxUp
f0oRPhSt-nee2,23,18000,Rent,2,f0oRPhSt-nee2,QSE55WO9-Lke6,TokR1lto-a4HR
eZ1HQNRm-P6Y2,26,87000,Mortgage,10,eZ1HQNRm-P6Y2,bMbaYW67-LkXW,BoncCip0-6tRK
RiuKWu83-QXzB,34,48989,Own,10,RiuKWu83-QXzB,uaULCLKy-aDhr,LsqZUlJA-2mza
rNayD1WP-AOas,22,71500,Rent,2,rNayD1WP-AOas,jgMChu6B-hhQX,o0dJTk3w-6WzR
miY6B7cI-LZul,29,105000,Mortgage,11,miY6B7cI-LZul,bd2QpytU-DnDz,tPzOGA4K-DJbY
7gTbQqBm-fwxK,29,38000,Mortgage,3,7gTbQqBm-fwxK,9iN5BTaA-Pn0Y,EGdkOOMe-O6wZ
fi5GAb2C-ONmG,28,62000,Rent,4,fi5GAb2C-ONmG,HQ9biDtC-bare,K0rkrvkn-mQhs
ToIZryHX-ZcX8,27,32500,Own,3,ToIZryHX-ZcX8,13YbkSU7-3Ugy,yorxrujQ-ezKi
4r0gkvs0-1A9y,26,85000,Mortgage,8,4r0gkvs0-1A9y,mj1m2ex4-dikh,kQnkKSED-jJkb
O5mzA8KN-wtKC,35,273700,Mortgage,8,O5mzA8KN-wtKC,LMaq9jH1-vlN0,ynZydWAO-txtl
MSAWUvHI-rspF,24,43200,Rent,5,MSAWUvHI-rspF,Tvvok3uO-wpO7,KvTYlbo6-zbq6
qTFEBiKS-PloR,24,61200,Mortgage,8,qTFEBiKS-PloR,t6NlTz2B-WrGl,Pzg5SeCX-uJyr
ixm4oSvj-NXcZ,32,45000,Mortgage,2,ixm4oSvj-NXcZ,98E9pWh2-MZf2,ImPr07Sr-NM5y
ZciGAj68-TQgU,22,21120,Mortgage,3,ZciGAj68-TQgU,B6LKqGw3-M7o5,3yHhWhrM-EaIu
yasxIlaa-YCmg,25,44400,Mortgage,9,yasxIlaa-YCmg,HR6nsT7N-J83i,AdOENXTy-Eadr
SHJstEie-XoIE,25,123144,Rent,2,SHJstEie-XoIE,iU6Kvpfa-9Wx6,1rxuU5lW-Rr4j
poyAMKgU-uJSs,23,62400,Rent,0,poyAMKgU-uJSs,DUutd1es-u6fa,2oxCiiub-3GWu
EWWUAeo3-Mdz0,29,35000,Rent,1,EWWUAeo3-Mdz0,EkojReJB-xEDi,TJ695oYa-3NnU
ykYbGB2J-eTmx,39,55600,Rent,0,ykYbGB2J-eTmx,bK5tShC9-m20X,HlOau05S-5Xkf
1jgsPcmz-AtYM,43,60000,Mortgage,27,1jgsPcmz-AtYM,mvDYQ8Db-JIKP,6K2OhjWw-DBYE
nf2cYR8g-MgSp,24,49232,Rent,8,nf2cYR8g-MgSp,gp7W8s0h-4AkX,9MX3jpeX-FNdL
CIgpq6zv-ivZ4,24,80400,Mortgage,5,CIgpq6zv-ivZ4,L1PAn5bR-2DEl,jbs6YNEk-hd8H
vAH86OoM-UR2A,24,48000,Mortgage,4,vAH86OoM-UR2A,MeQdNU77-cKc9,ceuts3ov-zXsc
6Ryu3C2G-Ef86,30,54000,Rent,9,6Ryu3C2G-Ef86,srDxs5zS-ISTj,H96JjCtk-eA9k
o5OjKYfk-8p82,21,18000,Rent,2,o5OjKYfk-8p82,d53XU5bS-x9mu,gP0CxJJB-ckBQ
dwROYi6i-SmMO,42,60000,Rent,3,dwROYi6i-SmMO,9zl5tAXr-dhxA,LRmlhXBA-3eH7
CEWhSAoE-iCzZ,27,113800,Mortgage,3,CEWhSAoE-iCzZ,DfhTWaiF-brp9,B0x1PCB4-elXn
bG4vQRWy-QkPF,36,51000,Mortgage,2,bG4vQRWy-QkPF,p4S0Ba2O-GQwD,0bJKqC2I-FE2K
PPh94eIX-dZBa,22,97000,Mortgage,4,PPh94eIX-dZBa,H0heIouE-uHu3,7xEjsaYM-8nfc
Q7EDyO67-LI4X,31,190000,Own,8,Q7EDyO67-LI4X,bqikDm84-fSMv,I0bHATPC-yIXP
WdhErYGl-CUip,27,72000,Mortgage,11,WdhErYGl-CUip,P52XlgH8-5D22,xJo6rPiv-zxnL
3tqf2M42-gUbT,22,45000,Rent,3,3tqf2M42-gUbT,EUX7vdS9-ZSdO,UUCr5fs3-IskO
R8E0U3r5-6ctg,39,38400,Rent,5,R8E0U3r5-6ctg,5GKSyq9P-CMuO,KktLFbhY-SZsk
0xbUO6dd-m6fa,38,34296,Own,1,0xbUO6dd-m6fa,s87imLzQ-ic3J,rQWBHM5n-UsKc
hRLM14LG-4DDs,24,26400,Rent,3,hRLM14LG-4DDs,ZAI4ILDC-gslG,kUPL5Y6K-L3Il
UMiwBCih-N5Pa,24,73700,Rent,0,UMiwBCih-N5Pa,u6Q1ToBN-ISpI,opqhJcKv-lJsi
ZUQJKBAH-uGCB,30,30000,Rent,11,ZUQJKBAH-uGCB,We5JA0LW-aRNu,TwU0Kb0D-oU3I
HFfhlzLR-Dbed,22,36000,Rent,1,HFfhlzLR-Dbed,53fLCdKt-LlRs,36hkgpDq-GW6J
IykCIDPD-u0Lf,25,65000,Own,3,IykCIDPD-u0Lf,wuAkpmX2-Abpy,0tPAMNvt-CdwX
4fqKD49g-EnlT,27,48000,Rent,2,4fqKD49g-EnlT,19BqPfko-UhfZ,3Qr6Sxv1-rG97
Q6Ky6UtP-7hjb,30,67000,Mortgage,6,Q6Ky6UtP-7hjb,arAp8q1t-Ki9W,PIbtCvUw-qf3K
5xFFGpif-iNuX,24,55782,Rent,3,5xFFGpif-iNuX,0tysTvkP-b0vw,HW40bXI9-5K4W
bl2eypiB-G9lX,23,43000,Mortgage,1,bl2eypiB-G9lX,ix7zwND0-XL4e,D7q21uhw-QLD7
t6iD5LIz-4rs5,25,37000,Rent,2,t6iD5LIz-4rs5,zc8lN1ET-hLfy,52MrSbSe-BEXD
RjwQe0Pu-1Ttd,36,79200,Mortgage,19,RjwQe0Pu-1Ttd,7eY58xcX-eeix,LaOnFKWd-peoD
SYENb9O3-racr,24,92000,Rent,1,SYENb9O3-racr,FyroQoPk-R5zF,MzRqj66w-oO07
F4kxPNWL-j8LK,34,143150,Mortgage,0,F4kxPNWL-j8LK,HNFlbE0t-zi72,SuRLahkb-hSlL
RDHeYDmM-cKxs,29,40000,Mortgage,8,RDHeYDmM-cKxs,nKJCUjak-mYFC,UHotfKRa-y9ZL
NciBWG2b-da5O,27,32890,Rent,5,NciBWG2b-da5O,EHiUKMXP-JBzG,BM10IWQp-xZ7i
lvzTqo8e-r7BJ,32,85000,Rent,7,lvzTqo8e-r7BJ,2hpumX4i-XgIK,gG6zRccB-QEYq
MY8FOgRk-mGxs,23,14000,Rent,0,MY8FOgRk-mGxs,a7Fz1JOC-Ovfc,5eRFUbNG-LUv2
0g7M0qhC-I6EQ,26,75000,Rent,2,0g7M0qhC-I6EQ,QObwPbTq-0c5q,btKWsiaB-UD8w
6R81GqEP-Zbe6,26,32000,Mortgage,10,6R81GqEP-Zbe6,qKhHy3Xa-f87O,zSAf3bLK-ggln
s75pWmDa-xzk8,24,56000,Mortgage,2,s75pWmDa-xzk8,rUuBZnop-TJ2p,gePvbdiY-2COW
2DYBhjLz-rzYp,27,26400,Rent,2,2DYBhjLz-rzYp,Nd1041IF-hIoH,FCm54ZbT-XIfG
I47RGndS-GOJY,35,110000,Rent,9,I47RGndS-GOJY,dgakSwso-FX6j,ZYCITydz-JhRA
YuwjkreQ-0Ri1,24,41100,Own,2,YuwjkreQ-0Ri1,FfZxDt24-4h2O,nyFIicTG-Op2L
8Tsr0i5k-7xf1,34,91000,Mortgage,19,8Tsr0i5k-7xf1,p57B4ScE-RWt5,m9zS7hED-OogB
aTYbg5kv-turX,37,54000,Mortgage,21,aTYbg5kv-turX,caPDZBla-7mul,KWvhqaK3-5to5
scTZnna2-sKAr,22,34000,Mortgage,6,scTZnna2-sKAr,NXmbqj5w-08mb,BqhFPN34-7Tgh
Qa0eEgNp-vDKa,31,26400,Rent,2,Qa0eEgNp-vDKa,Zdvzdn6p-fzpY,HzDXe24m-LGlN
1I6g9Yem-zX0l,33,55000,Rent,5,1I6g9Yem-zX0l,MxdUJszu-AtvO,7jC6OgBi-riX2
zF1bshNZ-FRnj,36,32004,Rent,3,zF1bshNZ-FRnj,WvOi7bdP-HhRc,Blu96Hto-kjNz
Xb4EksrK-pON9,29,73000,Rent,2,Xb4EksrK-pON9,B88AcyYY-DE9P,AK7kvvh3-Xw7U
UIHaU21H-cEfc,36,64000,Rent,0,UIHaU21H-cEfc,511PxrOy-7Syj,cy7lwYWp-wx8W
