person_id,person_age,person_income,person_home_ownership,person_emp_length,person_id
0BIU0hPP-3LC6,25,55800,Mortgage,1,0BIU0hPP-3LC6
0bjyTao6-bmuW,34,125000,Mortgage,4,0bjyTao6-bmuW
0BlibH5r-epYQ,23,21000,Rent,3,0BlibH5r-epYQ
0BPC0PUU-iJve,33,21600,Rent,2,0BPC0PUU-iJve
0BPHyUme-40LL,25,67200,Mortgage,9,0BPHyUme-40LL
0BQOA1pC-8X75,49,64800,Mortgage,4,0BQOA1pC-8X75
0bWSLrM0-Ai6D,22,44000,Mortgage,4,0bWSLrM0-Ai6D
0c3DUzPc-dDzm,23,24000,Rent,0,0c3DUzPc-dDzm
0c62jp26-Dvn8,23,70000,Mortgage,1,0c62jp26-Dvn8
0CcmbwWH-WhiD,26,67500,Rent,0,0CcmbwWH-WhiD
0CL0t22y-TO9g,24,31200,Rent,4,0CL0t22y-TO9g
0Cl3tTWH-oenW,31,34000,Rent,9,0Cl3tTWH-oenW
0COOm1rh-XaoD,22,65000,Mortgage,1,0COOm1rh-XaoD
0cpaBJdb-JRMZ,32,82350,Rent,16,0cpaBJdb-JRMZ
0dfBPkcl-0LRY,25,40000,Mortgage,NULL,0dfBPkcl-0LRY
0DmXJAaM-fOwZ,25,120000,Rent,9,0DmXJAaM-fOwZ
0Dt9mn80-x831,39,708000,Mortgage,14,0Dt9mn80-x831
0dUbOTco-xG2n,24,48000,Mortgage,4,0dUbOTco-xG2n
0DvtZQKm-vOFx,23,59000,Rent,5,0DvtZQKm-vOFx
0dYnXd6J-7yE2,24,89908,Rent,1,0dYnXd6J-7yE2
0DYZY2xA-f3SL,41,24000,Mortgage,5,0DYZY2xA-f3SL
0E5blurd-pAjP,30,44760,Rent,1,0E5blurd-pAjP
0E5QkNLY-0nSw,37,60000,Rent,0,0E5QkNLY-0nSw
0E71mmbQ-8nqu,23,50000,Own,3,0E71mmbQ-8nqu
0eErRc45-AUk2,24,29000,Mortgage,1,0eErRc45-AUk2
0eJLO9x8-89WY,30,42600,Rent,13,0eJLO9x8-89WY
0ERrJMwI-QxE3,24,98000,Own,8,0ERrJMwI-QxE3
0ewjp4js-OTrv,26,54000,Mortgage,10,0ewjp4js-OTrv
0eypyWWT-Qg0S,34,14400,Rent,2,0eypyWWT-Qg0S
0f4kqpKJ-Ipqs,31,69000,Rent,1,0f4kqpKJ-Ipqs
0F73ebtg-cUMd,24,35000,Rent,1,0F73ebtg-cUMd
0FIMaAm6-xFsK,28,50000,Rent,2,0FIMaAm6-xFsK
0fLIxFpM-jS4j,23,30000,Rent,7,0fLIxFpM-jS4j
0fm3ohOU-3NlO,24,61000,Rent,8,0fm3ohOU-3NlO
0Fw9Bfp0-lEsG,22,95000,Mortgage,1,0Fw9Bfp0-lEsG
0G1gxTZj-OFEn,35,200000,Rent,7,0G1gxTZj-OFEn
0g2ybrbG-82pa,26,39600,Rent,3,0g2ybrbG-82pa
0g7M0qhC-I6EQ,26,75000,Rent,2,0g7M0qhC-I6EQ
0GgMo1zw-XYHR,29,26000,Own,5,0GgMo1zw-XYHR
0gqwGrwc-IyHN,35,126000,Rent,19,0gqwGrwc-IyHN
0Gs3vgRu-if2J,35,30000,Mortgage,2,0Gs3vgRu-if2J
0GtJIxEv-rkD0,28,28800,Rent,1,0GtJIxEv-rkD0
0gXaKyOO-ckdF,24,95000,Rent,8,0gXaKyOO-ckdF
0GXxpU0Y-l1QA,30,60000,Mortgage,8,0GXxpU0Y-l1QA
0GZvrlej-NeJj,23,33996,Rent,0,0GZvrlej-NeJj
0h1lfYtK-LS7I,28,115000,Mortgage,3,0h1lfYtK-LS7I
0H3THHdF-3Wvb,22,58000,Own,6,0H3THHdF-3Wvb
0h9XLFLa-eOOf,27,80000,Mortgage,11,0h9XLFLa-eOOf
0hACAp0I-MKIE,48,41500,Rent,3,0hACAp0I-MKIE
0HBMYFf4-aEkq,22,100000,Rent,3,0HBMYFf4-aEkq
0hKE8Jlk-q1KX,27,157500,Own,6,0hKE8Jlk-q1KX
0hM1SHZE-HDJb,33,38000,Mortgage,0,0hM1SHZE-HDJb
0hM96PJM-U8OU,26,51000,Mortgage,3,0hM96PJM-U8OU
0HN03dqk-bfjw,25,23000,Rent,0,0HN03dqk-bfjw
0Ht5Pphd-rhQa,30,50000,Mortgage,3,0Ht5Pphd-rhQa
0i0scds2-5Yeg,21,40000,Rent,4,0i0scds2-5Yeg
0IBHY6Xq-cW9J,38,30000,Mortgage,8,0IBHY6Xq-cW9J
0IjGjQkf-eFza,26,85000,Mortgage,0,0IjGjQkf-eFza
0iMvkW41-Cm0C,29,140000,Rent,3,0iMvkW41-Cm0C
0iO9dMMX-2Wf7,22,40000,Rent,6,0iO9dMMX-2Wf7
0Ir7KOcN-p0fY,22,36396,,NULL,0Ir7KOcN-p0fY
0irxJt98-iyb8,24,50000,Rent,3,0irxJt98-iyb8
0iw4hp1D-FCmv,38,50000,Mortgage,8,0iw4hp1D-FCmv
0IXeH294-6BJv,31,85000,Other,4,0IXeH294-6BJv
0IxvhZey-zQKg,22,51000,Mortgage,3,0IxvhZey-zQKg
0IYfXjyz-S3v1,22,38000,Mortgage,4,0IYfXjyz-S3v1
0iZn4PZu-Ow3Y,22,65000,Mortgage,6,0iZn4PZu-Ow3Y
0IZwKgxj-pK05,23,35808,Mortgage,3,0IZwKgxj-pK05
0jlAqbaW-cBzI,25,70000,Mortgage,4,0jlAqbaW-cBzI
0KARZ5Mq-nCWu,26,40000,Mortgage,10,0KARZ5Mq-nCWu
0kdaAgyL-hLv0,23,95004,Mortgage,4,0kdaAgyL-hLv0
0kIbRqUt-BcHN,23,110000,Rent,0,0kIbRqUt-BcHN
0ko0Ti1x-JWAh,22,49500,Rent,0,0ko0Ti1x-JWAh
0KSAdz3s-AhG4,30,77000,Rent,7,0KSAdz3s-AhG4
0kwMIhZ9-wFFv,22,30000,Mortgage,6,0kwMIhZ9-wFFv
0kybXJWi-1Fnr,44,17112,Rent,NULL,0kybXJWi-1Fnr
0kZPkE71-rDtK,28,50000,Rent,0,0kZPkE71-rDtK
0L8It5WY-3xfB,29,25000,Own,5,0L8It5WY-3xfB
0LbYksNP-ehpp,24,74337,Rent,8,0LbYksNP-ehpp
0lIO1RBb-nuRN,26,122500,Rent,1,0lIO1RBb-nuRN
0lqvMvSO-Q9go,26,250000,Mortgage,10,0lqvMvSO-Q9go
0ltLhmfy-X6SC,32,32004,Rent,16,0ltLhmfy-X6SC
0LZRKJoU-xFsA,27,100000,Mortgage,11,0LZRKJoU-xFsA
0MC0E0qu-YHYt,35,130000,Mortgage,15,0MC0E0qu-YHYt
0mg5QCvx-Xuza,21,27996,Mortgage,5,0mg5QCvx-Xuza
0Mj95J3r-3lR2,23,54000,Mortgage,7,0Mj95J3r-3lR2
0MjYcuxF-8fHg,27,35000,Rent,11,0MjYcuxF-8fHg
0mKpnBxZ-e1Yd,26,55000,Mortgage,10,0mKpnBxZ-e1Yd
0MKXeGXU-3Zgq,25,67000,Mortgage,9,0MKXeGXU-3Zgq
0mNjAeL7-n1D3,25,90000,Rent,9,0mNjAeL7-n1D3
0mOs9gAp-ok0A,26,92700,Mortgage,6,0mOs9gAp-ok0A
0MqE7X1a-swNv,37,205000,Mortgage,3,0MqE7X1a-swNv
0mT2clqf-PaWR,22,36000,Rent,2,0mT2clqf-PaWR
0mT4Xfua-lOXY,33,14400,Rent,2,0mT4Xfua-lOXY
0n8cmERD-2Xg3,27,25000,Own,4,0n8cmERD-2Xg3
0NcvDy4a-ra9l,32,55000,Mortgage,16,0NcvDy4a-ra9l
0NEe4UH5-Xkc2,26,28000,Rent,8,0NEe4UH5-Xkc2
0nqDGkk2-R54v,42,37000,Rent,0,0nqDGkk2-R54v
0NUo1qwp-bP8D,23,32000,Rent,0,0NUo1qwp-bP8D
0NXsyne8-02T6,23,29000,Rent,7,0NXsyne8-02T6
0OQfF0rG-U7rr,28,125000,Mortgage,13,0OQfF0rG-U7rr
0p0LdM3N-2QvH,29,104000,Mortgage,7,0p0LdM3N-2QvH
0P7cu5rJ-YYIL,25,74000,Rent,0,0P7cu5rJ-YYIL
0PAPNDD3-sNbr,24,66996,Mortgage,5,0PAPNDD3-sNbr
0PDUIBeU-XwQO,38,80000,Mortgage,2,0PDUIBeU-XwQO
0POZyPIf-rqOB,25,80000,Mortgage,7,0POZyPIf-rqOB
0pQeb0Dw-oEtE,22,29916,Rent,1,0pQeb0Dw-oEtE
0pQYYw6t-ZFAY,22,32244,Rent,2,0pQYYw6t-ZFAY
0PvaIKbq-QeBj,22,45000,Mortgage,6,0PvaIKbq-QeBj
0PXUdtSf-Hxeu,27,42000,Rent,1,0PXUdtSf-Hxeu
0pYtRnYT-7sut,22,23000,Mortgage,2,0pYtRnYT-7sut
0pZLTqXl-5zdR,23,46443,Rent,7,0pZLTqXl-5zdR
0Q3m8xtN-JvWU,48,59000,Rent,2,0Q3m8xtN-JvWU
0q6y40b9-WZkL,44,76000,Mortgage,3,0q6y40b9-WZkL
0qGYLCfi-bGK8,29,32000,Mortgage,5,0qGYLCfi-bGK8
0qH1mYXv-HiFD,28,30000,Rent,2,0qH1mYXv-HiFD
0qhPOghk-GmF4,27,31416,Own,0,0qhPOghk-GmF4
0qN6ltA8-WS2c,27,59004,Rent,3,0qN6ltA8-WS2c
0qszBbW2-TeHK,34,39600,Mortgage,14,0qszBbW2-TeHK
0QxubeLP-3Gjs,37,54000,Rent,2,0QxubeLP-3Gjs
0QZYaRLo-fwju,22,82000,Mortgage,6,0QZYaRLo-fwju
0r0WfDtb-7y0e,21,15300,Own,5,0r0WfDtb-7y0e
0r2EtCqq-RBbk,22,13200,Rent,0,0r2EtCqq-RBbk
0R2gggUo-Ohxz,24,57000,Mortgage,NULL,0R2gggUo-Ohxz
0RAaUcXc-1NFJ,35,30996,Rent,18,0RAaUcXc-1NFJ
0rFoYLpj-4EQH,28,56056,Rent,3,0rFoYLpj-4EQH
0RIettbD-5IWj,29,54000,Rent,5,0RIettbD-5IWj
0RlC4sAJ-Ugov,22,82000,Mortgage,6,0RlC4sAJ-Ugov
0RMANZYs-Jjgc,29,99000,Mortgage,1,0RMANZYs-Jjgc
0rraeeHG-d4nD,28,65000,Mortgage,5,0rraeeHG-d4nD
0RvA5BaC-4m2g,24,86376,Mortgage,2,0RvA5BaC-4m2g
0SasnNdX-AX9N,27,58000,Rent,3,0SasnNdX-AX9N
0Sdgf36Z-auBI,22,30000,Own,6,0Sdgf36Z-auBI
0SEFcvu7-9uHx,32,131000,Mortgage,2,0SEFcvu7-9uHx
0sFNCnPe-wY9D,22,42000,Rent,0,0sFNCnPe-wY9D
0SHjkHAj-It6m,25,19000,Rent,0,0SHjkHAj-It6m
0sLImFHw-4q0f,32,120000,Mortgage,0,0sLImFHw-4q0f
0sNKo0MO-8ebS,23,43000,Rent,1,0sNKo0MO-8ebS
0spEgKqm-l3s4,35,72500,Mortgage,0,0spEgKqm-l3s4
0stWhpki-vG5Z,30,111000,Rent,3,0stWhpki-vG5Z
0SyYsnkP-H1X1,29,50000,Mortgage,2,0SyYsnkP-H1X1
0t8yu7jN-uOJ3,24,113000,Mortgage,5,0t8yu7jN-uOJ3
0tb773Zm-R9ii,31,52000,Mortgage,8,0tb773Zm-R9ii
0th23kW1-HcTO,22,80000,Mortgage,6,0th23kW1-HcTO
0tIGLjCt-hW4d,22,50000,Own,6,0tIGLjCt-hW4d
0tT43KAN-P6CD,27,52000,Rent,0,0tT43KAN-P6CD
0ucE8HsH-P4AJ,52,64500,Rent,0,0ucE8HsH-P4AJ
0ULKe84J-qnf5,29,89849,Mortgage,13,0ULKe84J-qnf5
0UMpQJCo-agNq,38,50000,Rent,5,0UMpQJCo-agNq
0uwui9kj-UyQ9,29,70000,Mortgage,6,0uwui9kj-UyQ9
0uXO66yB-Gomr,25,71000,Rent,5,0uXO66yB-Gomr
0UzzfHAS-vEFc,43,80000,Mortgage,20,0UzzfHAS-vEFc
0v31GLkn-evZf,27,130000,Rent,0,0v31GLkn-evZf
0veLnCE1-qz7p,41,47000,Own,2,0veLnCE1-qz7p
0vgYBv1I-UadT,26,48000,Rent,0,0vgYBv1I-UadT
0W0jh643-FtXR,23,65500,Mortgage,3,0W0jh643-FtXR
0w24F0xp-QIl0,21,12120,Rent,0,0w24F0xp-QIl0
0W39U52r-U9Iy,23,44000,Rent,3,0W39U52r-U9Iy
0w6bch0B-DLBW,28,32468,Mortgage,12,0w6bch0B-DLBW
0wa1YIqf-oQFM,30,120000,Mortgage,15,0wa1YIqf-oQFM
0wd2vduY-UeOc,35,58788,Mortgage,8,0wd2vduY-UeOc
0wdFJvvT-Iq6y,28,60000,Mortgage,12,0wdFJvvT-Iq6y
0Wfjo8hD-xf1F,22,93000,Rent,1,0Wfjo8hD-xf1F
0WK6Mtcm-34sW,48,55000,Mortgage,7,0WK6Mtcm-34sW
0Wlf9Cwp-oOMX,29,60000,Own,1,0Wlf9Cwp-oOMX
0wyUfdtx-5Gad,26,86502,Rent,7,0wyUfdtx-5Gad
0wYvlad9-X6Ri,33,120000,Rent,1,0wYvlad9-X6Ri
0X7cc9X1-EeCv,30,55536,Mortgage,14,0X7cc9X1-EeCv
0X9bRdTL-tU97,36,25200,Mortgage,0,0X9bRdTL-tU97
0xbUO6dd-m6fa,38,34296,Own,1,0xbUO6dd-m6fa
0Xbx3jH5-O4kU,25,80000,Mortgage,5,0Xbx3jH5-O4kU
0Xexh5q0-J6FN,23,42000,Rent,7,0Xexh5q0-J6FN
0XKlDR9M-aFn8,21,30000,Rent,5,0XKlDR9M-aFn8
0Xl5KtRZ-KFHn,26,70000,Mortgage,0,0Xl5KtRZ-KFHn
0xq5chpv-Gje5,30,70000,Mortgage,9,0xq5chpv-Gje5
0xrcnaKQ-lt46,21,125000,Mortgage,0,0xrcnaKQ-lt46
0YAC9XEL-iI8B,47,54996,Mortgage,7,0YAC9XEL-iI8B
0Yb2haeZ-xtNg,22,62400,Rent,2,0Yb2haeZ-xtNg
0YDrRsIK-8FEm,25,81600,Mortgage,9,0YDrRsIK-8FEm
0yg4oISL-ovm6,23,60400,Rent,2,0yg4oISL-ovm6
0YGyY19v-MNWm,24,37000,Mortgage,0,0YGyY19v-MNWm
0YNafDNb-CCc3,23,75000,Rent,3,0YNafDNb-CCc3
0yoNIy1E-lEtD,22,44700,Rent,0,0yoNIy1E-lEtD
0ySaoFEr-agZM,24,39000,Rent,2,0ySaoFEr-agZM
0YSZtDo9-Yh4w,30,20800,Rent,0,0YSZtDo9-Yh4w
0YThKPpr-wOmr,38,85000,Mortgage,4,0YThKPpr-wOmr
0YxewUDY-ulIk,26,21000,Own,4,0YxewUDY-ulIk
0yy5hLJb-oUFy,22,46000,Rent,1,0yy5hLJb-oUFy
0yZLddrJ-7Oju,27,30000,Own,6,0yZLddrJ-7Oju
0Z1dFZ7t-2fiG,23,110000,Rent,3,0Z1dFZ7t-2fiG
0zaAnZPS-Ivj6,22,72500,Rent,6,0zaAnZPS-Ivj6
0zb1sArJ-siS6,26,170000,Mortgage,0,0zb1sArJ-siS6
0ZEtWxJK-aqUj,31,53922,Rent,15,0ZEtWxJK-aqUj
0zISkUNa-C2xS,37,96996,Mortgage,21,0zISkUNa-C2xS
0zn3KIyg-nuTG,25,78000,Mortgage,4,0zn3KIyg-nuTG
0Zq8d3Fc-F3T4,35,60000,Mortgage,12,0Zq8d3Fc-F3T4
0zwkz2vB-BPwH,25,80000,Mortgage,2,0zwkz2vB-BPwH
0zxmNicC-9sdA,26,96000,Rent,6,0zxmNicC-9sdA
101Pgr6f-g4Zq,23,80004,Mortgage,2,101Pgr6f-g4Zq
10x8OcyW-gb5L,27,69000,Rent,11,10x8OcyW-gb5L
112Yan8I-mNd5,24,55000,Rent,8,112Yan8I-mNd5
11dBJdjm-hfWt,26,25000,Own,7,11dBJdjm-hfWt
11dWEHkz-p99O,22,38000,Rent,5,11dWEHkz-p99O
11JdjEv7-iRw8,44,38400,Mortgage,4,11JdjEv7-iRw8
11LTzLLZ-tcvM,27,NULL,Rent,11,11LTzLLZ-tcvM
11mUATLy-U5B1,23,39600,Rent,7,11mUATLy-U5B1
11Y5DDZd-j7fy,23,62000,Rent,7,11Y5DDZd-j7fy
12axshiw-Dg7O,29,28000,Rent,2,12axshiw-Dg7O
12E5CDeX-LcYS,25,115000,Mortgage,3,12E5CDeX-LcYS
134FRskf-pQkl,39,36000,Rent,3,134FRskf-pQkl
1398gC4Q-LDCZ,23,30000,Rent,6,1398gC4Q-LDCZ
13jZ8SWx-5TPE,27,38000,Rent,5,13jZ8SWx-5TPE
13Ygcgr6-Mk9I,22,32496,Rent,4,13Ygcgr6-Mk9I
14fEcnuZ-CddG,45,123000,Rent,2,14fEcnuZ-CddG
14IZUNkb-6IsY,34,67000,Rent,7,14IZUNkb-6IsY
15fYWCuc-7G4p,25,85000,Mortgage,7,15fYWCuc-7G4p
15IiNUlb-9W10,33,65000,Mortgage,14,15IiNUlb-9W10
17pzeYkk-AqLn,28,68000,Mortgage,7,17pzeYkk-AqLn
17qeHwjp-7aRZ,34,58800,Mortgage,3,17qeHwjp-7aRZ
17wmHS2G-QhEB,37,50000,Rent,0,17wmHS2G-QhEB
17YEvZ5v-imGn,25,100000,Mortgage,9,17YEvZ5v-imGn
1837OdXI-Hpim,24,36000,Rent,0,1837OdXI-Hpim
18dzC4uG-BKXz,25,24000,Own,7,18dzC4uG-BKXz
18jAoSLh-f3Mk,37,75996,Mortgage,2,18jAoSLh-f3Mk
18u90vul-Ud0R,21,35000,Rent,5,18u90vul-Ud0R
18UJRYaa-ZMs6,22,64312,Mortgage,4,18UJRYaa-ZMs6
198pUqvG-dmd3,NULL,60000,Rent,NULL,198pUqvG-dmd3
19auMavJ-7CSx,27,NULL,,6,19auMavJ-7CSx
19TutlcN-kIjL,30,31000,Mortgage,3,19TutlcN-kIjL
1A3i6GNO-3KwP,27,41000,Rent,3,1A3i6GNO-3KwP
1a6FlfU3-74Uj,31,50000,Rent,0,1a6FlfU3-74Uj
1ALpTMUB-1PDz,35,40000,Rent,2,1ALpTMUB-1PDz
1ANi5Rue-HQ4h,24,60000,Mortgage,0,1ANi5Rue-HQ4h
1ap5xb7I-1F5h,31,62000,Mortgage,4,1ap5xb7I-1F5h
1ay2s31P-6aJu,22,42000,Rent,6,1ay2s31P-6aJu
1B0uANBd-vOCZ,22,67440,Mortgage,6,1B0uANBd-vOCZ
1B4A7aXT-uotS,26,40000,Rent,3,1B4A7aXT-uotS
1B9GtSOX-Roj7,24,42000,Rent,9,1B9GtSOX-Roj7
1bBJtPrc-zX7D,26,50000,Mortgage,0,1bBJtPrc-zX7D
1bCNrWUp-ug7B,25,45149,Mortgage,NULL,1bCNrWUp-ug7B
1bIKBF32-tufb,23,42000,Own,7,1bIKBF32-tufb
1BjPXumc-Z1TM,22,37200,Rent,6,1BjPXumc-Z1TM
1bK5w3la-Nwud,26,33000,Own,NULL,1bK5w3la-Nwud
1blW6QKv-oe6e,24,48000,Own,5,1blW6QKv-oe6e
1BRC5KwB-zXzu,24,130000,Mortgage,5,1BRC5KwB-zXzu
1BvRuNj7-hTHu,29,40000,Mortgage,13,1BvRuNj7-hTHu
1c7sSZL6-xbj3,24,53295,Rent,3,1c7sSZL6-xbj3
1C8awwE4-BqQ2,26,35500,Rent,10,1C8awwE4-BqQ2
1CF2jw5Q-wLOh,21,24000,Rent,5,1CF2jw5Q-wLOh
1cF9wP51-A8o6,45,42320,Mortgage,6,1cF9wP51-A8o6
1cj2ZoP0-LxF7,22,30000,Rent,2,1cj2ZoP0-LxF7
1cMv6KRd-Wvxi,32,37000,Rent,0,1cMv6KRd-Wvxi
1cOPf1qD-wFaf,36,45344,Mortgage,11,1cOPf1qD-wFaf
1CqwEqcw-WcCo,23,75000,Mortgage,3,1CqwEqcw-WcCo
1cUKGNO7-Gbfm,38,80000,Mortgage,7,1cUKGNO7-Gbfm
1d5yYqbH-Ho4d,22,36396,Mortgage,6,1d5yYqbH-Ho4d
1dCZTM1N-u409,25,160000,Own,5,1dCZTM1N-u409
1DL4zwri-pb2T,27,NULL,Mortgage,3,1DL4zwri-pb2T
1dM8xRAR-kSXx,27,85000,Mortgage,11,1dM8xRAR-kSXx
1DvfSMsL-BybY,25,65000,Rent,8,1DvfSMsL-BybY
1DxlOcJI-Qmz8,32,37440,Rent,8,1DxlOcJI-Qmz8
1DZJeOKE-wjcR,22,36000,Mortgage,6,1DZJeOKE-wjcR
1e0YllUD-LUPT,23,65000,Rent,2,1e0YllUD-LUPT
1e4havbm-aSOy,37,51000,Rent,11,1e4havbm-aSOy
1e5LjBri-Qnn7,31,74028,Rent,5,1e5LjBri-Qnn7
1EIjv4Ho-4Iws,34,44000,Rent,2,1EIjv4Ho-4Iws
1ePGJuGc-qHda,22,50000,Own,4,1ePGJuGc-qHda
1eqTt4k7-Cb8v,23,75000,Rent,0,1eqTt4k7-Cb8v
1ERdr3tH-Bm5Q,33,110000,Rent,3,1ERdr3tH-Bm5Q
1Eu5FLGq-5pHa,23,100800,Mortgage,4,1Eu5FLGq-5pHa
1eyREB2S-Rbw4,29,53000,Rent,7,1eyREB2S-Rbw4
1fa1jfa9-lqs5,24,88000,Mortgage,4,1fa1jfa9-lqs5
1FBWC8aU-9bpC,23,69996,Mortgage,7,1FBWC8aU-9bpC
1fqfZF08-zEhM,24,71151,Rent,6,1fqfZF08-zEhM
1FsnYmu4-yyag,29,60000,Mortgage,4,1FsnYmu4-yyag
1fUhgAW3-Mwyd,34,30000,Own,3,1fUhgAW3-Mwyd
1fv4qWqZ-FrUM,23,18500,Rent,2,1fv4qWqZ-FrUM
1FXLlj7q-IBSH,24,31000,Rent,2,1FXLlj7q-IBSH
1fxqLuSr-AsTK,24,65000,Rent,3,1fxqLuSr-AsTK
1G52SejN-g280,49,95000,Mortgage,12,1G52SejN-g280
1gaenIyd-1QnX,40,55000,Rent,14,1gaenIyd-1QnX
1gbQ4RZ1-IMcg,33,80000,Mortgage,5,1gbQ4RZ1-IMcg
1GCntydK-vIbY,32,73000,Mortgage,5,1GCntydK-vIbY
1gHocgzS-D3rD,27,46000,Rent,11,1gHocgzS-D3rD
1gJuWpkq-8KJR,24,76554,Rent,8,1gJuWpkq-8KJR
1GMtvuMT-AHYh,23,30000,Rent,4,1GMtvuMT-AHYh
1GRJyZsP-Kgl6,34,42000,Rent,2,1GRJyZsP-Kgl6
1H053sDf-frW4,23,39000,Rent,1,1H053sDf-frW4
1h0EDPrQ-0p2n,27,48100,Mortgage,1,1h0EDPrQ-0p2n
1HbDBoDw-x6Xq,21,15120,Mortgage,0,1HbDBoDw-x6Xq
1hBGlQlY-sdsU,34,30000,Mortgage,4,1hBGlQlY-sdsU
1hEuiI9M-mr1Z,30,65000,Rent,1,1hEuiI9M-mr1Z
1HHDqnUM-B6GL,24,NULL,Rent,8,1HHDqnUM-B6GL
1hHHXM4z-XOhH,26,30000,Rent,4,1hHHXM4z-XOhH
1HIuQ51o-Iz5z,24,75000,Rent,8,1HIuQ51o-Iz5z
1HTFGRZY-4mTp,22,14400,Rent,0,1HTFGRZY-4mTp
1htrEY36-M8L8,37,36000,Mortgage,7,1htrEY36-M8L8
1hvMXDjx-81Ze,32,130000,Mortgage,0,1hvMXDjx-81Ze
1hx0Wwh2-yhSE,27,50000,Mortgage,0,1hx0Wwh2-yhSE
1hYsAkq1-YHzZ,26,60000,Mortgage,NULL,1hYsAkq1-YHzZ
1HZok4fe-aOrg,24,58033,Rent,4,1HZok4fe-aOrg
1I6g9Yem-zX0l,33,55000,Rent,5,1I6g9Yem-zX0l
1I6R7Zn0-P7Gf,38,48384,Rent,4,1I6R7Zn0-P7Gf
